year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2010,25.9612369537354,194,-0.161860302090645,332,18.4648952484131,239,3.47390844389339e-13,364,0,0,0,249,249,249,249,p0001,GOTM
2011,23.9583168029785,191,0,76,18.0948753356934,249,0,77,122,122,122,127,249,127,249,p0001,GOTM
2012,22.2439403533936,210,-0.142886713147163,342,17.749195098877,244,1.3026669957982e-28,84,122,61,122,121,243,119,243,p0001,GOTM
2013,22.0136623382568,218,0,104,18.1256217956543,256,0,105,126,42,126,126,252,126,256,p0001,GOTM
2014,26.7549343109131,209,-0.393321633338928,359,17.7199783325195,237,1.67196114699935e-17,65,122,63,126,115,237,115,250,p0001,GOTM
2015,22.3180656433105,185,-0.0764355883002281,75,18.4583282470703,245,6.06919988563451e-29,67,121,42,126,123,244,116,252,p0001,GOTM
2010,21.5020866394043,194,-0.325564622879028,329,18.9542045593262,227,-0.437379270792007,329,30,5.42857142857143,38,174,204,154,227,p0002,GOTM
2011,19.8701839447021,191,-7.97809281885842e-17,0,19.2319068908691,218,-1.23893828363882e-16,0,19,4.125,33,176,195,133,210,p0002,GOTM
2012,18.6845016479492,210,-0.333838582038879,8,17.7834606170654,212,-0.195221304893494,8,20,4.75,38,158,178,145,231,p0002,GOTM
2013,18.7781810760498,221,-2.58846682152716e-13,0,17.9385852813721,223,-4.01977171167467e-13,0,16,3.77777777777778,34,206,222,151,238,p0002,GOTM
2014,22.8837127685547,209,-0.340291112661362,358,19.5152626037598,224,-0.266358971595764,358,39,6.85714285714286,48,185,224,141,224,p0002,GOTM
2015,18.1570739746094,221,-0.000221921960473992,0,17.7832717895508,236,-0.000337271427270025,0,15,3.14285714285714,22,172,187,163,224,p0002,GOTM
2010,23.198486328125,194,-0.45132714509964,329,20.1731605529785,204,-0.445019334554672,329,32,5.2,52,172,204,150,249,p0003,GOTM
2011,21.6170215606689,191,-8.35191426651685e-17,0,20.3600997924805,218,-1.29699008372559e-16,0,19,3.57142857142857,50,176,195,129,246,p0003,GOTM
2012,20.3756046295166,201,-0.312499940395355,8,19.074047088623,212,-0.219204440712929,339,22,5.75,46,158,180,145,232,p0003,GOTM
2013,20.2546367645264,221,-2.86721791057862e-13,0,19.1589374542236,223,-4.45265975783024e-13,0,16,3,39,206,222,133,247,p0003,GOTM
2014,24.7340869903564,209,-0.329415798187256,358,21.1244621276855,223,-0.258708089590073,358,38,9,54,185,223,140,223,p0003,GOTM
2015,19.6125736236572,195,-0.000240964276599698,0,19.0124816894531,236,-0.000365615996997803,0,16,2.58333333333333,31,171,187,147,253,p0003,GOTM
2010,24.7548770904541,194,-0.411956042051315,329,21.1358089447021,204,-0.370704084634781,329,34,5.55555555555556,50,170,204,165,251,p0004,GOTM
2011,23.1319713592529,191,-9.2601837253907e-17,0,21.2983360290527,218,-1.43803787775347e-16,0,20,4.13333333333333,62,152,172,128,246,p0004,GOTM
2012,22.174768447876,201,-0.283264607191086,8,20.1620960235596,212,-0.273131430149078,339,25,5.5,55,157,182,123,237,p0004,GOTM
2013,21.5134525299072,221,-3.36711751145954e-13,0,20.105016708374,188,-5.22898293674884e-13,0,17,4.14285714285714,58,206,223,130,256,p0004,GOTM
2014,26.2497901916504,209,-0.290524333715439,358,21.5436477661133,224,-0.287103712558746,15,47,6.09090909090909,67,177,224,117,262,p0004,GOTM
2015,21.2820320129395,195,-0.203153669834137,46,20.0435066223145,236,-0.233762621879578,46,17,2.5625,41,171,188,118,253,p0004,GOTM
2010,25.1070995330811,194,-0.255807369947433,330,20.1344184875488,230,-0.288554430007935,330,13,3.5,14,217,230,217,250,p0005,GOTM
2011,23.3842945098877,191,-1.45569877940152e-16,0,21.066499710083,219,-2.26059488155457e-16,0,91,10.4444444444444,94,128,219,118,246,p0005,GOTM
2012,22.0640525817871,201,-0.266829252243042,8,19.6977291107178,220,-0.126278549432755,340,62,7.9,79,157,219,121,237,p0005,GOTM
2013,21.570219039917,221,-7.59754997629869e-13,0,19.6652889251709,199,-1.17986870273867e-12,0,70,13.5714285714286,95,129,199,129,256,p0005,GOTM
2014,26.4146404266357,209,-0.350503176450729,15,19.6146640777588,230,-0.327405959367752,15,53,9.44444444444444,85,177,230,117,262,p0005,GOTM
2015,21.1536827087402,195,-0.000315228971885517,0,19.8210697174072,238,-0.000475404289318249,0,43,7.4,74,160,203,118,253,p0005,GOTM
2010,22.0645389556885,194,-0.232288599014282,330,18.2656536102295,232,-0.265467494726181,330,60,60,60,170,230,170,230,p0006,GOTM
2011,20.1976451873779,191,-1.35957231894008e-16,0,17.8091659545898,230,-2.11131697130403e-16,0,76,15.2,76,152,228,140,238,p0006,GOTM
2012,18.8766651153564,210,-0.123218283057213,340,17.3944511413574,233,-0.101721957325935,341,74,40.5,81,158,232,145,232,p0006,GOTM
2013,18.9033012390137,221,-1.0800183447221e-12,0,17.3860092163086,230,-1.67722530742404e-12,0,65,29.6666666666667,89,138,203,138,238,p0006,GOTM
2014,23.2194347381592,209,-0.229604333639145,359,16.7574310302734,232,-0.262623935937881,359,54,24.6666666666667,74,178,232,138,232,p0006,GOTM
2015,18.5663890838623,221,-0.0609331764280796,62,17.6129283905029,239,-0.000421201577410102,0,44,7.22222222222222,65,163,207,147,238,p0006,GOTM
2010,21.157585144043,194,-0.295251369476318,329,20.3426113128662,202,-0.334151476621628,329,16,2.875,23,186,202,154,227,p0007,GOTM
2011,19.5933456420898,191,-6.14467875487015e-17,0,19.2157783508301,211,-9.54222253576923e-17,0,7,3.16666666666667,19,176,183,154,209,p0007,GOTM
2012,18.4069728851318,210,-0.351400315761566,8,17.6670074462891,212,-0.334104895591736,338,10,2.875,23,159,169,145,230,p0007,GOTM
2013,18.6737117767334,221,-0.0151282027363777,342,17.9148464202881,222,-2.47751580535749e-13,0,6,0.846153846153846,11,206,212,153,238,p0007,GOTM
2014,22.5713081359863,209,-0.432873874902725,358,20.8218441009521,218,-0.376438051462173,358,17,5.8,29,198,215,159,215,p0007,GOTM
2015,17.8634815216064,220,-0.142331063747406,19,17.6846466064453,236,-0.140424504876137,19,4,1.42857142857143,10,182,186,163,222,p0007,GOTM
2010,23.7533168792725,194,-0.325370699167252,329,22.3635559082031,202,-0.364461004734039,329,14,2.5625,41,186,200,147,250,p0008,GOTM
2011,22.115442276001,191,-6.58272515226517e-17,0,20.7440986633301,216,-1.02224760191981e-16,0,9,2.2,33,186,195,129,246,p0008,GOTM
2012,21.1795959472656,201,-0.379244923591614,8,19.5478229522705,212,-0.320487052202225,338,12,2.83333333333333,34,158,170,123,235,p0008,GOTM
2013,20.8498096466064,221,-1.44944169513939e-13,0,19.9286251068115,220,-2.25091362107514e-13,0,7,1.8,27,156,163,151,247,p0008,GOTM
2014,25.349967956543,209,-0.425453364849091,358,22.6537075042725,218,-0.372925579547882,358,17,3.77777777777778,34,198,215,157,262,p0008,GOTM
