year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2010,25.0786209106445,225,-0.198501601815224,331,19.4150657653809,235,4.71126543878067e-15,364,1,1,1,249,250,249,250,p0001,GOTM
2011,22.3500862121582,189,0,72,19.296070098877,231,0,72,102,13,104,127,229,114,246,p0001,GOTM
2012,21.8560943603516,229,-0.0555719211697578,0,19.3935146331787,236,2.17530551656232e-27,79,78,11.1111111111111,100,157,235,121,255,p0001,GOTM
2013,24.1719741821289,208,4.44560197058044e-35,104,18.9158878326416,242,6.90186055352722e-35,104,107,29,116,127,234,127,256,p0001,GOTM
2014,25.5926322937012,208,-0.0796171575784683,359,18.156270980835,236,-0.0823668837547302,359,58,14.8571428571429,104,177,235,110,257,p0001,GOTM
2015,21.8255863189697,185,-0.00011823123350041,0,19.033597946167,243,-0.000181391194928437,0,79,15.6666666666667,94,162,241,141,254,p0001,GOTM
2010,23.1316432952881,225,-0.252720266580582,330,19.4580154418945,228,-0.313660234212875,330,31,3.7,37,173,204,150,228,p0002,GOTM
2011,20.1450347900391,189,-1.52574244843904e-16,0,19.9344596862793,210,-2.36936847036081e-16,0,23,5.77777777777778,52,178,201,128,246,p0002,GOTM
2012,20.1299304962158,229,-0.166754990816116,0,19.1325244903564,217,-0.00891400221735239,2,17,6,48,159,176,143,230,p0002,GOTM
2013,22.6158809661865,208,2.33190077448293e-41,105,18.1437110900879,229,3.6203947124296e-41,105,20,6.7,67,206,226,130,251,p0002,GOTM
2014,23.2538509368896,209,-0.273518800735474,359,18.4892616271973,230,-0.310617685317993,359,45,8.71428571428571,61,185,230,138,254,p0002,GOTM
2015,19.2000389099121,236,-0.000320344028295949,0,18.5285987854004,239,-0.000482922303490341,0,24,6.85714285714286,48,215,239,160,253,p0002,GOTM
2010,21.568883895874,225,-0.381035983562469,330,18.4109764099121,230,-0.105765730142593,331,40,5.875,47,173,213,153,228,p0003,GOTM
2011,19.0486850738525,217,-1.70517830503209e-16,0,18.4995555877686,219,-2.64802007539261e-16,0,41,15.25,61,178,219,152,238,p0003,GOTM
2012,18.7907466888428,229,-0.0443227551877499,338,17.7968521118164,220,2.66667895940618e-36,85,45,16.5,66,160,205,142,230,p0003,GOTM
2013,20.1554012298584,208,7.51095976878102e-43,112,17.1473598480225,230,1.16588032231825e-42,112,61,20.75,83,138,199,138,251,p0003,GOTM
2014,21.9778137207031,209,-0.412215292453766,15,16.5641212463379,234,-0.272081702947617,359,51,13.6,68,183,234,138,254,p0003,GOTM
2015,18.0289688110352,236,-0.000286938739009202,0,17.0635375976562,240,-0.00043371893116273,0,27,18,54,172,199,163,240,p0003,GOTM
2010,28.5942459106445,194,-0.155996695160866,332,19.3289527893066,243,0.58944445848465,364,1,0.5,1,249,250,249,267,p0004,GOTM
