year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2011,22.241,191,1.2764,364,14.412,259,1.2764,364,NA,NA,NA,NA,NA,NA,NA,p0001,FLake
2012,20.657,210,0,9,16.432,248,0.0091705,345,88,47.5,95,160,248,146,248,p0001,FLake
2013,20.239,187,0,0,20.085,218,0.32854,0,45,25.5,51,159,204,159,213,p0001,FLake
2014,24.187,209,0,16,14.407,265,0.0017847,359,130,130,130,135,265,135,265,p0001,FLake
2015,19.88,185,0,0,18.408,241,0,21,68,68,68,173,241,173,241,p0001,FLake
2011,20.549,189,1.1144,364,16.446,247,1.1144,364,107,107,107,137,244,137,244,p0002,FLake
2012,18.499,211,0,8,18.499,211,0.0081051,8,3,3,3,146,149,146,149,p0002,FLake
2013,18.847,218,0,0,18.847,218,0.34517,0,6,6,6,206,212,206,212,p0002,FLake
2014,21.573,217,0,16,21.573,217,0.0069865,16,NA,NA,NA,NA,NA,NA,NA,p0002,FLake
2015,18.039,237,0,0,18.039,237,0.0039046,45,NA,NA,NA,NA,NA,NA,NA,p0002,FLake
2011,19.047,189,1.0606,364,13.308,257,1.0606,364,118,118,118,139,257,139,257,p0003,FLake
2012,16.831,218,0,8,16.831,218,0.0028418,343,NA,NA,NA,NA,NA,NA,NA,p0003,FLake
2013,17.164,219,0,0,17.164,219,0.3373,0,NA,NA,NA,NA,NA,NA,NA,p0003,FLake
2014,21.347,207,0,16,12.408,265,0.0072349,16,124,124,124,140,264,140,264,p0003,FLake
2015,16.592,238,0,0,16.592,238,0.0031023,32,12,12,12,183,195,183,195,p0003,FLake
2011,26.272,191,1.5038,364,16.202,262,2.2528,360,NA,NA,NA,NA,NA,NA,NA,p0004,FLake
2012,24.379,211,0,7,11.782,281,1.7908,78,165,165,165,115,280,115,280,p0004,FLake
2013,24.797,187,0,0,16.045,266,1.9656,355,141,141,141,125,266,125,266,p0004,FLake
2014,28.374,209,0,16,15.329,269,2.0623,16,159,159,159,110,269,110,269,p0004,FLake
2015,23.494,234,0,0,23.488,235,1.2855,59,2,0.428571428571429,3,181,183,160,194,p0004,FLake
