year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2011,18.913,216,0,342,14.474,253,1.016,341,113,113,113,137,250,137,250,p0001,FLake
2012,18.271,232,0,0,16.815,241,1.3897,0,100,100,100,141,241,141,241,p0001,FLake
2013,19.664,207,0,0,17.211,229,0,340,79,79,79,149,228,149,228,p0001,FLake
2014,22.595,210,0,0,18.718,229,0.4726,0,92,92,92,137,229,137,229,p0001,FLake
2015,18.799,186,0,0,17.447,235,0,346,91,91,91,135,226,135,226,p0001,FLake
2011,19.787,204,0,341,10.541,262,0,341,108,108,108,153,261,153,261,p0002,FLake
2012,15.866,209,0,0,13.042,249,0.089225,336,103,103,103,146,249,146,249,p0002,FLake
2013,16.897,207,0,0,14.436,240,0.64211,0,78,78,78,155,233,155,233,p0002,FLake
2014,20.231,210,0,0,15.25,237,0.922420000000001,115,93,93,93,144,237,144,237,p0002,FLake
2015,16.328,186,0,0,13.164,245,0,330,91,32,96,154,245,147,245,p0002,FLake
2011,17.536,239,0,133,8.6188,275,0.12809,341,98,98,98,168,266,168,266,p0003,FLake
2012,14.04,209,0,0,8.6157,265,0.29284,135,98,98,98,167,265,167,265,p0003,FLake
2013,17.167,215,0,0,9.1194,269,0.75913,147,96,96,96,173,269,173,269,p0003,FLake
2014,18,207,0,0,11.635,263,2.6571,136,106,106,106,157,263,157,263,p0003,FLake
2015,13.164,235,0,0,12.687,243,0.69278,328,74,74,74,168,242,168,242,p0003,FLake
2011,21.741,215,0,342,20.365,226,3.2132,343,NA,NA,NA,NA,NA,NA,NA,p0004,FLake
2012,21.73,209,0,0,21.087,232,3.3584,0,95,95,95,123,218,123,218,p0004,FLake
2013,23.747,205,0,0,21.051,227,3.0207,338,96,96,96,130,226,130,226,p0004,FLake
2014,25.629,207,0,0,21.43,233,3.1729,0,120,120,120,113,233,113,233,p0004,FLake
2015,22.805,186,0,0,21.422,235,3.3232,348,88,88,88,122,210,122,210,p0004,FLake
2011,16.111,247,0,133,7.7337,279,1.5442,146,90,90,90,177,267,177,267,p0005,FLake
2012,13.71,209,0,0,6.9868,272,1.6734,320,99,99,99,166,265,166,265,p0005,FLake
2013,17.413,215,0,0,8.9948,269,1.1746,153,82,41.5,83,187,269,172,269,p0005,FLake
2014,15.843,210,0,0,12.133,254,2.5161,139,93,93,93,161,254,161,254,p0005,FLake
2015,13.04,235,0,0,12.577,243,1.5943,328,68,68,68,175,243,175,243,p0005,FLake
2011,23.057,195,0,346,21.917,225,3.9243,347,NA,NA,NA,NA,NA,NA,NA,p0006,FLake
2012,23.057,209,0,0,22.303,232,3.7261,332,96,96,96,119,215,119,215,p0006,FLake
2013,25.436,205,0,0,22.237,227,2.4581,343,102,102,102,123,225,123,225,p0006,FLake
2014,27.014,207,0,0,25.474,222,2.6877,0,112,112,112,110,222,110,222,p0006,FLake
2015,24.401,186,0,0,22.778,205,3.1946,0,94,94,94,111,205,111,205,p0006,FLake
2011,17.593,216,0,340,14.336,249,2.8845,341,101,101,101,148,249,148,249,p0007,FLake
2012,17.064,209,0,0,12.827,258,2.4401,337,114,114,114,144,258,144,258,p0007,FLake
2013,18.318,208,0,0,16.359,239,1.4637,133,76,76,76,158,234,158,234,p0007,FLake
2014,20.577,211,0,0,16.843,237,3.2428,0,96,96,96,141,237,141,237,p0007,FLake
2015,16.98,188,0,0,15.859,243,3.7086,0,98,98,98,145,243,145,243,p0007,FLake
2011,21.679,215,0,345,20.329,226,3.4172,352,NA,NA,NA,NA,NA,NA,NA,p0008,FLake
2012,21.67,209,0,0,20.98,232,3.1865,339,96,96,96,123,219,123,219,p0008,FLake
2013,23.819,205,0,0,20.685,229,3.443,0,99,99,99,129,228,129,228,p0008,FLake
2014,25.541,207,0,0,22.481,228,3.6645,351,114,114,114,114,228,114,228,p0008,FLake
2015,22.794,186,0,0,21.175,235,3.3355,346,106,106,106,118,224,118,224,p0008,FLake
2011,20.931,215,0,345,17.034,245,0.30354,349,NA,NA,NA,NA,NA,NA,NA,p0009,FLake
2012,20.233,209,0,0,19.611,237,1.2533,0,107,107,107,130,237,130,237,p0009,FLake
2013,21.825,207,0,0,18.909,240,0,340,92,92,92,137,229,137,229,p0009,FLake
2014,25.018,207,0,0,19.733,234,0.49478,0,114,114,114,120,234,120,234,p0009,FLake
2015,21.546,186,0,0,19.485,235,1.7729,347,86,86,86,127,213,127,213,p0009,FLake
2011,14.76,218,0,133,12.402,250,2.0153,142,79,79,79,171,250,171,250,p0010,FLake
2012,14.791,232,0,0,12.482,250,2.1832,138,86,86,86,164,250,164,250,p0010,FLake
2013,15.431,215,0,0,13.952,238,2.0929,332,70,70,70,168,238,168,238,p0010,FLake
2014,17.341,211,0,0,14.788,236,1.4032,131,79,79,79,157,236,157,236,p0010,FLake
2015,14.119,235,0,0,13.752,240,2.8656,330,74,74,74,166,240,166,240,p0010,FLake
2011,15.417,215,0,133,8.4902,275,0.064844,339,95,95,95,170,265,170,265,p0011,FLake
2012,14.642,208,0,0,8.477,264,0.31429,135,96,96,96,168,264,168,264,p0011,FLake
2013,17.962,215,0,0,7.9959,271,0.966849999999999,328,97,97,97,172,269,172,269,p0011,FLake
2014,17.956,207,0,0,10.057,267,0.8927,132,107,107,107,160,267,160,267,p0011,FLake
2015,13.116,187,0,0,11.087,249,0,327,80,80,80,169,249,169,249,p0011,FLake
2011,17.942,216,0,341,13.888,246,0.31681,341,92,92,92,154,246,154,246,p0012,FLake
2012,16.659,230,0,0,15.279,241,0.16498,336,97,97,97,144,241,144,241,p0012,FLake
2013,17.883,207,0,0,15.386,229,0,332,77,77,77,151,228,151,228,p0012,FLake
2014,21.637,207,0,0,14.771,244,0.55843,0,105,105,105,139,244,139,244,p0012,FLake
2015,16.901,186,0,0,15.994,201,0,334,25,25,25,174,199,174,199,p0012,FLake
2011,21.446,215,0,342,17.903,238,1.0362,341,NA,NA,NA,NA,NA,NA,NA,p0013,FLake
2012,20.721,230,0,0,20.721,230,1.3776,0,97,97,97,125,222,125,222,p0013,FLake
2013,22.322,207,0,0,19.245,227,0,340,94,94,94,131,225,131,225,p0013,FLake
2014,25.898,207,0,0,20.331,233,0.51016,0,113,113,113,116,229,116,229,p0013,FLake
2015,22.188,186,0,0,19.422,235,0,347,80,40,80,127,207,124,207,p0013,FLake
2011,17.631,216,0,341,15.624,230,0.419500000000001,341,76,76,76,152,228,152,228,p0014,FLake
2012,16.9,230,0,0,16.146,239,0.1705,337,94,94,94,145,239,145,239,p0014,FLake
2013,18.087,207,0,0,15.662,229,0.01388,332,77,77,77,151,228,151,228,p0014,FLake
2014,21.585,207,0,0,16.169,240,1.1528,0,99,99,99,140,239,140,239,p0014,FLake
2015,17.49,186,0,0,15.83,235,0,335,70,70,70,145,215,145,215,p0014,FLake
2011,21.398,215,0,344,17.774,239,1.1363,344,NA,NA,NA,NA,NA,NA,NA,p0015,FLake
2012,20.645,230,0,0,20.645,230,1.2063,338,102,102,102,125,227,125,227,p0015,FLake
2013,22.31,207,0,0,19.309,227,0,340,93,93,93,132,225,132,225,p0015,FLake
2014,25.706,207,0,0,20.391,233,0.53828,0,112,112,112,117,229,117,229,p0015,FLake
2015,22.103,186,0,0,19.582,235,0,347,80,80,80,127,207,127,207,p0015,FLake
2011,19.493,216,0,342,15.481,245,0.15382,343,NA,NA,NA,NA,NA,NA,NA,p0016,FLake
2012,18.66,230,0,0,17.724,240,0.60269,337,102,102,102,137,239,137,239,p0016,FLake
2013,20.019,207,0,0,17.332,227,0,335,83,83,83,144,227,144,227,p0016,FLake
2014,23.745,207,0,0,17.896,236,0.54482,0,102,102,102,134,236,134,236,p0016,FLake
2015,19.675,186,0,0,17.482,235,0,337,70,70,70,136,206,136,206,p0016,FLake
2011,15.357,216,0,133,8.4964,269,0,339,95,95,95,170,265,170,265,p0017,FLake
2012,14.194,208,0,0,8.2242,265,0.44167,0,97,97,97,168,265,168,265,p0017,FLake
2013,17.311,215,0,0,8.0045,270,0.506310000000001,328,94,94,94,173,267,173,267,p0017,FLake
2014,17.645,207,0,0,10.069,266,1.653,138,104,104,104,162,266,162,266,p0017,FLake
