year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2011,22.188,182,0.75989,364,10.718,284,0.75989,364,NA,NA,NA,NA,NA,NA,NA,p0001,FLake
2012,21.643,210,0,2,11.451,279,0.46925,2,153,76.5,153,121,274,121,276,p0001,FLake
2013,21.436,217,0,0,14.031,267,1.8844,0,137,137,137,130,267,130,267,p0001,FLake
2014,23.497,217,0,16,23.497,217,1.291,16,15,6.33333333333333,19,157,172,157,206,p0001,FLake
2015,20.917,236,0,0,18.034,246,1.5521,59,73,73,73,173,246,173,246,p0001,FLake
2011,19.709,217,0.52213,364,19.709,217,0.52213,364,12,6.66666666666667,20,157,169,157,194,p0002,FLake
2012,18.959,218,0,2,18.959,218,0.015943,2,10,7.5,15,188,198,165,198,p0002,FLake
2013,20.086,218,0,0,13.309,266,1.638,0,135,135,135,131,266,131,266,p0002,FLake
2014,23.033,216,0,16,16.917,235,0.020294,360,50,22,66,185,235,139,235,p0002,FLake
2015,19.12,236,0,0,16.677,246,0.116,0,72,72,72,174,246,174,246,p0002,FLake
2011,17.978,217,0.43449,364,17.914,217,0.43449,364,NA,NA,NA,NA,NA,NA,NA,p0003,FLake
2012,17.458,218,0,1,15.678,242,0.2682,0,52,52,52,188,240,188,240,p0003,FLake
2013,18.612,218,0,0,9.2868,283,1.5218,0,138,138,138,137,275,137,275,p0003,FLake
2014,21.443,216,0,16,11.093,271,0.021717,360,125,125,125,143,268,143,268,p0003,FLake
2015,17.259,236,0,0,15.444,247,0.1155,0,63,63,63,184,247,184,247,p0003,FLake
2011,25.811,216,0,363,20.061,254,3.7713,356,115,115,115,138,253,138,253,p0004,FLake
2012,25.11,211,0,0,12.221,285,3.81080000000001,0,172,86.5,173,113,285,109,285,p0004,FLake
2013,25.015,217,0,0,15.357,271,3.3663,343,153,153,153,118,271,118,271,p0004,FLake
2014,28.028,208,0,13,12.997,287,3.2383,72,181,181,181,106,287,106,287,p0004,FLake
2015,24.865,185,0,0,16.075,275,2.8807,64,159,159,159,116,275,116,275,p0004,FLake
2011,18.398,210,0.45004,364,11.084,278,0.45004,364,120,120,120,155,275,155,275,p0005,FLake
2012,17.799,231,0,1,12.526,261,0.24495,1,90,90,90,170,260,170,260,p0005,FLake
2013,17.979,218,0,0,7.3982,291,1.4858,0,138,138,138,148,286,148,286,p0005,FLake
2014,20.671,216,0,16,10.204,274,1.118,16,122,62,124,150,272,144,272,p0005,FLake
2015,16.854,238,0,0,12.189,269,0.85457,65,96,96,96,172,268,172,268,p0005,FLake
2011,27.73,216,1.0797,362,13.848,286,3.8974,358,NA,NA,NA,NA,NA,NA,NA,p0006,FLake
2012,26.999,211,0,0,13.69,284,3.5701,344,175,175,175,109,284,109,284,p0006,FLake
2013,26.825,217,0,0,15.654,275,3.2016,87,165,165,165,110,275,110,275,p0006,FLake
2014,29.637,208,0,13,14.932,281,3.7974,362,176,176,176,105,281,105,281,p0006,FLake
