year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2011,22.0610008239746,190,8.45100021362305,311,17.2059993743896,248,8.44699954986572,311,99,50,100,153,252,151,252,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,21.2399997711182,229,9.25,131,18.3840007781982,205,8.9040002822876,131,44,11.8571428571429,83,206,250,133,250,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,20.9519996643066,219,7.76700019836426,127,14.548999786377,267,6.30999994277954,127,131,69,138,136,267,128,267,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,25.2229995727539,203,3.61800003051758,93,16.9969997406006,238,3.57500004768372,93,54,20,140,184,238,115,282,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2015,20.7549991607666,225,4.80299997329712,103,19.5419998168945,239,4.56199979782104,104,63,11,88,176,239,140,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,20.5179996490479,210,0,346,15.8620004653931,249,0.0755179971456528,345,90,90,90,159,249,159,249,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,20.7630004882812,219,0,0,13.5080003738403,266,0.821160018444061,104,135,135,135,131,266,131,266,122,122,122,-20,102,-20,102,0.385939985513687,80,flake
2014,23.9659996032715,209,0,17,14.1669998168945,265,0.0135469995439053,17,131,131,131,134,265,134,265,36,36,36,17,53,17,53,0.220650002360344,30,flake
2015,20.2029991149902,185,0,0,15.7620000839233,250,0.113140001893044,0,104,104,104,146,250,146,250,55,55,55,-5,50,-5,50,0.106239996850491,-2,flake
2012,21.8440494537354,201,0.0180715229362249,344,20.8442840576172,212,0.0180715229362249,344,5,1.57142857142857,22,164,169,158,238,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,21.75634765625,221,-0.640276372432709,103,21.0297946929932,220,0.605025947093964,343,7,1.47368421052632,28,156,163,140,256,148,148,148,-21,127,-21,127,0.416455835103989,87,glm
2014,25.6973667144775,209,-0.00816311966627836,97,23.6104755401611,219,0.0319036394357681,15,17,2.28571428571429,32,198,215,141,254,91,91,91,16,107,16,107,0.22363169491291,49,glm
2015,21.3502330780029,196,-0.247145026922226,86,20.4996147155762,237,0.421049922704697,0,4,1.33333333333333,20,171,175,147,253,117,117,117,-4,113,-4,113,0.276922613382339,57,glm
2012,21.0925731658936,201,-0.0939974710345268,341,18.8783493041992,233,-0.113339088857174,341,75,75,75,157,232,157,232,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,20.9312782287598,221,-1.2249371439052e-12,0,18.8559188842773,230,-1.90020460304197e-12,0,74,16.5,99,129,203,129,256,131,131,131,-25,106,-25,106,0.472274154424667,82,gotm
2014,25.6932411193848,209,-0.327778458595276,15,18.6063079833984,231,-0.290515661239624,359,54,12.5714285714286,88,177,231,117,250,41,41,41,15,56,15,56,0.22800013422966,31,gotm
2015,20.5725021362305,221,-0.0176388192921877,55,19.1150398254395,239,-0.000456193694844842,0,47,10.125,81,160,207,141,253,61,61,61,-6,55,-6,55,0.147578552365303,-2,gotm
2012,21.2649993896484,201,0,348,20.4540004730225,232,0.0619879998266697,362,47,10.4,52,157,204,152,231,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,21.4860000610352,221,0,0,20.7819995880127,224,0.0621999986469746,0,60,16.2,81,131,191,131,238,124,124,124,-18,106,-18,106,0.369379997253418,82,simstrat
2014,25.8950004577637,209,0,17,20.6539993286133,231,0.0128089999780059,22,48,12,72,181,229,133,229,36,36,36,17,53,17,53,0.136020004749298,31,simstrat
2015,20.9950008392334,221,0,0,20.4689998626709,236,0.0142970001325011,9,25,4.44444444444444,40,163,188,147,227,26.5,48,53,3,51,-4,51,0.0848290026187897,38,simstrat
