year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2011,22.0610008239746,190,8.45100021362305,311,17.2059993743896,248,8.44699954986572,311,99,50,100,153,252,151,252,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,21.2399997711182,229,9.25,131,18.3840007781982,205,8.9040002822876,131,44,11.8571428571429,83,206,250,133,250,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,20.9519996643066,219,7.76700019836426,127,14.548999786377,267,6.30999994277954,127,131,69,138,136,267,128,267,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,25.2229995727539,203,3.61800003051758,93,16.9969997406006,238,3.57500004768372,93,54,20,140,184,238,115,282,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2015,20.7549991607666,225,4.80299997329712,103,19.5419998168945,239,4.56199979782104,104,63,11,88,176,239,140,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,21.4860000610352,211,0,346,9.93509960174561,284,2.03579998016357,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,21.6760005950928,219,0,0,8.6112003326416,292,1.55139994621277,357,162,162,162,128,290,128,290,129,129,129,-20,109,-20,109,0.532639980316162,83,flake
2014,24.5659999847412,217,0,16,13.8509998321533,268,0.984929978847504,16,133,133,133,135,268,135,268,41,41,41,16,57,16,57,0.21671000123024,31,flake
2015,20.8560009002686,185,0,0,10.3529996871948,283,1.62249994277954,69,170,170,170,113,283,113,283,36.5,71,73,-6,65,-6,68,0.190490007400513,11,flake
2012,22.5812702178955,229,-0.000614996533840895,341,18.9226360321045,248,0.0144000295549631,352,91,91,91,157,248,157,248,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,22.6101360321045,193,-0.61063015460968,103,11.3550128936768,288,0.744233191013336,0,157,157,157,130,287,130,287,134,134,134,-14,120,-14,120,0.410395950078964,82,glm
2014,26.9284534454346,209,-0.0557006075978279,58,17.1939926147461,264,0.0237834434956312,362,126,26.2,131,138,264,111,264,84,84,84,18,102,18,102,0.177886128425598,51,glm
2015,22.3479919433594,185,-0.142362907528877,89,18.58762550354,249,0.185824260115623,0,87,15.8333333333333,95,162,249,141,253,109,109,109,-2,107,-2,107,0.255591630935669,48,glm
2012,21.7933788299561,210,-0.0844218954443932,338,17.699728012085,243,0.627693593502045,365,0,0,0,255,255,255,255,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,22.6122436523438,187,-0.17647622525692,342,17.7452964782715,244,1.41044674337037e-34,105,120,31.25,125,124,244,124,255,134,134,134,-28,106,-28,106,0.491142213344574,81,gotm
2014,25.8989849090576,205,-0.421487718820572,358,17.5612239837646,238,4.30536100358843e-16,66,105,19.5,117,132,237,111,254,30,54,60,13,67,-22,67,0.263867169618607,31,gotm
2015,22.4193859100342,182,3.23950716329929e-23,67,18.4124145507812,243,5.02491017544832e-23,67,127,63.5,127,116,243,116,253,38,74,76,-6,68,-6,73,0.252600312232971,38,gotm
2012,22.2970008850098,211,0,348,16.7590007781982,257,1.02859997749329,365,2,2,2,254,256,254,256,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,22.5380001068115,187,0,0,17.6879997253418,259,0.758819997310638,61,131,131,131,128,259,128,259,126,126,126,-18,108,-18,108,0.435950011014938,82,simstrat
2014,26.3040008544922,209,0,15,17.0860004425049,264,0.917029976844788,38,127,43.6666666666667,131,132,259,116,262,46,46,46,15,61,15,61,0.17994000017643,31,simstrat
2015,22.3540000915527,185,0,0,19.2999992370605,246,1.28919994831085,61,83,20,100,160,243,127,243,71,71,71,-5,66,-5,66,0.189490005373955,38,simstrat
