year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2011,22.0610008239746,190,8.45100021362305,311,17.2059993743896,248,8.44699954986572,311,99,50,100,153,252,151,252,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,21.2399997711182,229,9.25,131,18.3840007781982,205,8.9040002822876,131,44,11.8571428571429,83,206,250,133,250,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,20.9519996643066,219,7.76700019836426,127,14.548999786377,267,6.30999994277954,127,131,69,138,136,267,128,267,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,25.2229995727539,203,3.61800003051758,93,16.9969997406006,238,3.57500004768372,93,54,20,140,184,238,115,282,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2015,20.7549991607666,225,4.80299997329712,103,19.5419998168945,239,4.56199979782104,104,63,11,88,176,239,140,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,18.0230007171631,209,0,336,15.6979999542236,248,2.05209994316101,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,19.4619998931885,208,0,0,17.1609992980957,240,1.84860002994537,334,79,79,79,151,230,151,230,77.5,154,155,-29,125,-29,127,0.931339979171753,91,flake
2014,22.1119995117188,207,0,0,18.3490009307861,233,2.17869997024536,0,95,95,95,138,233,138,233,47.6666666666667,141,143,-31,110,-31,114,0.673759996891022,54,flake
2015,18.492000579834,186,0,0,17.5030002593994,235,1.93250000476837,115,93,93,93,137,230,137,230,65.5,130,131,-18,112,-18,114,0.741559982299805,65,flake
2012,20.6681690216064,230,0,310,5.57609701156616,297,0.00651979818940163,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,22.3983974456787,205,-0.0688139796257019,107,9.64636993408203,291,0.00560043146833777,359,145,49.3333333333333,148,145,290,129,290,103,103,103,20,123,20,123,0.391334444284439,82,glm
2014,26.6901454925537,207,0,10,7.3718466758728,301,0.00426549557596445,2,159,80.5,161,138,297,134,297,94,94,94,24,118,24,118,0.276593208312988,83,glm
2015,21.4522647857666,186,0,322,12.9501733779907,267,0.00806746073067188,12,94,15.6666666666667,94,167,261,136,261,109,109,109,15,124,15,124,0.36714380979538,73,glm
2012,16.4507446289062,207,-0.694453001022339,328,13.4268169403076,246,0.0959770977497101,365,84,84,84,156,240,156,240,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,17.701810836792,206,-0.116558596491814,322,13.2405710220337,254,0,111,85,85,85,158,243,158,243,98,177,196,-37,140,-63,140,0.968462646007538,100,gotm
2014,21.4919033050537,205,-0.189574003219604,329,13.9228048324585,240,1.1471029228963e-41,112,95,95,95,141,236,141,236,155,155,155,-42,113,-42,113,0.548212170600891,65,gotm
2015,18.8517379760742,184,-0.00419443380087614,322,13.3275871276855,244,2.61980447199807e-36,118,86,86,86,156,242,156,242,154,154,154,-35,119,-35,119,0.575495839118958,63,gotm
2012,19.6200008392334,206,0,333,9.87220001220703,281,1.81579995155334,338,11,11,11,265,276,265,276,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,21.261999130249,204,0,0,7.55389976501465,295,1.84099996089935,0,140,70,140,144,284,144,288,169,169,169,-33,136,-33,136,0.996259987354279,100,simstrat
2014,24.5540008544922,206,0,0,8.91520023345947,290,3.06119990348816,0,154,82,164,129,283,116,283,151,151,151,-40,111,-40,111,0.577509999275208,62,simstrat
2015,21.1410007476807,185,0,0,9.77299976348877,286,3.51250004768372,0,148,148,148,132,280,132,280,152,152,152,-29,123,-29,123,0.661409974098206,62,simstrat
