year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2011,22.0610008239746,190,8.45100021362305,311,17.2059993743896,248,8.44699954986572,311,99,50,100,153,252,151,252,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,21.2399997711182,229,9.25,131,18.3840007781982,205,8.9040002822876,131,44,11.8571428571429,83,206,250,133,250,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,20.9519996643066,219,7.76700019836426,127,14.548999786377,267,6.30999994277954,127,131,69,138,136,267,128,267,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,25.2229995727539,203,3.61800003051758,93,16.9969997406006,238,3.57500004768372,93,54,20,140,184,238,115,282,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2015,20.7549991607666,225,4.80299997329712,103,19.5419998168945,239,4.56199979782104,104,63,11,88,176,239,140,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,21.4489994049072,210,0,343,10.3970003128052,283,2.52519989013672,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,21.2229995727539,219,0,0,12.0609998703003,273,2.06599998474121,357,145,145,145,128,273,128,273,66.5,132,133,-23,109,-23,111,0.544080018997192,83,flake
2014,23.2259998321533,217,0,15,23.1520004272461,217,2.0058000087738,15,16,16,16,157,173,157,173,51,51,51,15,66,15,66,0.213339999318123,31,flake
2015,20.8309993743896,236,0,0,17.3780002593994,249,1.85210001468658,66,76,76,76,173,249,173,249,61,61,61,-5,56,-5,56,0.14529000222683,47,flake
2012,20.7744045257568,229,0,337,19.9619369506836,231,0.00873202458024025,359,20,6.5,52,185,205,160,238,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,24.2141304016113,208,-3.46944695195361e-18,55,19.5447292327881,224,0.0121968006715178,10,18,5.18181818181818,57,206,224,130,238,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,22.031867980957,216,0,49,16.6206912994385,255,0.0154357897117734,30,66,14,84,186,252,138,254,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2015,19.5544509887695,236,0,21,18.6211128234863,240,0.0163633860647678,11,25,5.625,45,215,240,146,253,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,21.7639026641846,229,0.0169122330844402,365,18.3049736022949,239,0.69077455997467,365,1,0.5,1,254,255,242,255,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,23.641185760498,208,2.26376403615994e-34,106,18.1384143829346,244,3.51091693586808e-34,106,116,40.3333333333333,121,127,243,127,256,135,135,135,-28,107,-28,107,0.47771367430687,81,gotm
2014,25.6510200500488,208,-0.320822030305862,359,17.7772064208984,237,3.81673967604634e-13,65,102,18.8333333333333,113,135,237,111,257,53,53,53,13,66,13,66,0.208193197846413,32,gotm
2015,22.1089897155762,185,-0.296541124582291,361,18.5191459655762,244,2.12666270117998e-29,62,82,15,105,162,244,121,254,23.3333333333333,68,70,-5,63,-5,72,0.187612697482109,38,gotm
2012,21.0109996795654,229,0,343,19.2910003662109,235,1.08060002326965,365,24,15,60,181,205,160,233,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,23.7240009307861,208,0,0,18.7409992218018,233,0.87720000743866,357,68,14.5,87,132,200,129,256,135,135,135,-23,112,-23,112,0.473960012197495,83,simstrat
2014,22.7140007019043,213,0,14,17.6219997406006,238,0.357809990644455,364,55,19,76,177,232,138,238,47,47,47,14,61,14,61,0.216120004653931,31,simstrat
2015,20.9750003814697,218,0,0,17.9839992523193,240,0.308560013771057,9,49,15,75,163,212,148,243,60,60,60,-6,54,-6,54,0.12007000297308,38,simstrat
