year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2011,22.0610008239746,190,8.45100021362305,311,17.2059993743896,248,8.44699954986572,311,99,50,100,153,252,151,252,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,21.2399997711182,229,9.25,131,18.3840007781982,205,8.9040002822876,131,44,11.8571428571429,83,206,250,133,250,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,20.9519996643066,219,7.76700019836426,127,14.548999786377,267,6.30999994277954,127,131,69,138,136,267,128,267,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,25.2229995727539,203,3.61800003051758,93,16.9969997406006,238,3.57500004768372,93,54,20,140,184,238,115,282,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2015,20.7549991607666,225,4.80299997329712,103,19.5419998168945,239,4.56199979782104,104,63,11,88,176,239,140,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.9799995422363,210,0,345,15.4379997253418,249,0.0107249999418855,345,90,90,90,159,249,159,249,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,19.4909992218018,219,0,0,19.4710006713867,218,0.3298299908638,0,25,13,26,175,200,175,207,124,124,124,-21,103,-21,103,0.390430003404617,81,flake
2014,23.3689994812012,209,0,16,13.2150001525879,266,0.00335410004481673,359,131,131,131,135,266,135,266,36,36,36,16,52,16,52,0.225060001015663,30,flake
2015,19.1700000762939,221,0,0,17.1650009155273,244,0.115390002727509,0,71,71,71,173,244,173,244,55,55,55,-6,49,-6,49,0.114090003073215,-2,flake
2012,20.6563415527344,201,0.018813356757164,343,20.0268878936768,212,0.018813356757164,343,3,0.857142857142857,12,164,167,148,237,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,20.9129505157471,221,-0.651428699493408,103,20.2091026306152,220,0.370221018791199,343,7,1.57142857142857,22,156,163,151,238,151,151,151,-22,129,-22,129,0.429936349391937,87,glm
2014,24.7345390319824,209,-0.0204631984233856,102,22.3958015441895,223,0.0387182086706161,360,25,3.33333333333333,30,198,223,151,223,95,95,95,15,110,15,110,0.231780722737312,49,glm
2015,20.1565856933594,220,-0.245531260967255,89,19.8194828033447,236,0.440887212753296,0,3,0.923076923076923,12,194,197,147,253,119,119,119,-4,115,-4,115,0.282823532819748,57,glm
2012,20.4359683990479,201,-0.102719485759735,339,18.8345603942871,220,-0.0965062230825424,339,59,15.5,62,157,216,157,232,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,20.4093227386475,221,-3.89051123131715e-13,0,18.6754913330078,229,-6.0352059721297e-13,0,65,14.8333333333333,89,129,194,129,247,132,132,132,-26,106,-26,106,0.46687987446785,82,gotm
2014,25.0554389953613,209,-0.22863045334816,359,18.7768383026123,230,-0.325094223022461,15,52,9.375,75,178,230,117,250,40,40,40,15,55,15,55,0.229746341705322,31,gotm
2015,19.9619731903076,221,-0.000277549144811928,0,18.9443321228027,238,-0.0004193828208372,0,39,5.54545454545455,61,162,201,141,237,59,59,59,-6,53,-6,53,0.150873810052872,-2,gotm
2012,20.5820007324219,229,0,346,19.9839992523193,212,0.00329279992729425,354,19,6.16666666666667,37,158,177,158,231,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,20.7880001068115,221,0,0,20.3589992523193,222,0.0122549999505281,0,8,2.75,33,156,164,140,217,127,127,127,-20,107,-20,107,0.369700014591217,82,simstrat
2014,24.8349990844727,209,0,16,21.9360008239746,224,0.00988570041954517,22,37,6.125,49,185,222,141,222,37,37,37,16,53,16,53,0.138109996914864,31,simstrat
2015,20.1620006561279,221,0,0,19.8299999237061,236,0.00764330010861158,22,16,2.25,27,171,187,147,224,26.5,33,53,17,50,-4,50,0.081896997988224,38,simstrat
