year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2011,22.0610008239746,190,8.45100021362305,311,17.2059993743896,248,8.44699954986572,311,99,50,100,153,252,151,252,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,21.2399997711182,229,9.25,131,18.3840007781982,205,8.9040002822876,131,44,11.8571428571429,83,206,250,133,250,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,20.9519996643066,219,7.76700019836426,127,14.548999786377,267,6.30999994277954,127,131,69,138,136,267,128,267,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,25.2229995727539,203,3.61800003051758,93,16.9969997406006,238,3.57500004768372,93,54,20,140,184,238,115,282,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2015,20.7549991607666,225,4.80299997329712,103,19.5419998168945,239,4.56199979782104,104,63,11,88,176,239,140,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,20.4249992370605,210,0,344,9.49860000610352,283,1.04750001430511,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,20.4080009460449,218,0,0,10.1549997329712,274,1.07920002937317,347,146,146,146,128,274,128,274,130,130,130,-22,108,-22,108,0.519590020179749,83,flake
2014,23.6100006103516,217,0,16,12.625,268,1.12800002098083,15,132,132,132,136,268,136,268,37,37,37,16,53,16,53,0.228609994053841,31,flake
2015,19.7089996337891,236,0,0,14.3070001602173,266,1.43859994411469,58,116,116,116,147,263,147,263,62,62,62,-6,56,-6,56,0.161210000514984,-1,flake
2012,20.9831295013428,229,0.0231706518679857,344,20.2324161529541,212,0.0231706518679857,344,19,4.11111111111111,37,158,177,158,230,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,20.8680515289307,219,-0.650770008563995,103,20.2861423492432,220,0.494279742240906,343,8,1.47058823529412,25,156,164,140,255,146,146,146,-21,125,-21,125,0.444815307855606,85,glm
2014,23.959041595459,209,-0.0532195828855038,58,21.5015182495117,229,0.0289674587547779,360,44,6.75,54,185,229,136,229,90,90,90,16,106,16,106,0.198722332715988,51,glm
2015,20.4294261932373,196,-0.157762065529823,89,19.7897491455078,238,0.491222143173218,0,4,1.07142857142857,15,171,175,156,235,116,116,116,-4,112,-4,112,0.27915421128273,48,glm
2012,20.642017364502,210,-0.0773872286081314,339,18.0004730224609,238,-0.0255263783037663,340,81,81,81,157,238,157,238,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,21.2620468139648,187,-0.224691152572632,342,17.806453704834,234,-1.89280936844366e-13,0,107,19,114,126,233,126,255,133,133,133,-26,107,-26,107,0.52504700422287,81,gotm
2014,24.9032459259033,205,-0.482904046773911,358,17.4005947113037,235,-0.0483828857541084,360,57,20.2,101,177,234,116,254,24.5,46,49,14,60,-22,60,0.245715975761414,31,gotm
2015,21.0311584472656,182,-0.000178705115104094,0,18.3007850646973,240,-0.000272328674327582,0,79,15.3333333333333,92,160,239,129,253,72,72,72,-6,66,-6,66,0.246476218104362,38,gotm
2012,20.7900009155273,229,0,343,19.8059997558594,233,0.975639998912811,365,62,32.5,65,157,219,157,232,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,20.8120002746582,219,0,0,19.8999996185303,224,0.808770000934601,32,61,20.25,81,130,191,130,224,131,131,131,-23,108,-23,108,0.450390011072159,82,simstrat
2014,24.6840000152588,209,0,16,19.0970001220703,234,0.23657999932766,364,56,26.3333333333333,79,178,234,136,234,40,40,40,16,56,16,56,0.171379998326302,31,simstrat
2015,20.4419994354248,185,0,0,19.8129997253418,237,0.227530002593994,8,35,5.875,47,163,198,141,228,69,69,69,-5,64,-5,64,0.182229995727539,38,simstrat
