year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2011,22.0610008239746,190,8.45100021362305,311,17.2059993743896,248,8.44699954986572,311,99,50,100,153,252,151,252,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,21.2399997711182,229,9.25,131,18.3840007781982,205,8.9040002822876,131,44,11.8571428571429,83,206,250,133,250,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,20.9519996643066,219,7.76700019836426,127,14.548999786377,267,6.30999994277954,127,131,69,138,136,267,128,267,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,25.2229995727539,203,3.61800003051758,93,16.9969997406006,238,3.57500004768372,93,54,20,140,184,238,115,282,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2015,20.7549991607666,225,4.80299997329712,103,19.5419998168945,239,4.56199979782104,104,63,11,88,176,239,140,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.6159992218018,230,0,334,19.0440006256104,237,3.07660007476807,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,21.1830005645752,207,0,0,18.128999710083,240,0,339,91,91,91,137,228,137,228,74,147,148,-31,116,-31,118,0.943419992923737,86,flake
2014,24.6669998168945,207,0,0,18.8659992218018,240,0.499729990959167,0,114,114,114,121,235,121,235,63.5,126,127,-25,101,-35,101,0.687409996986389,54,flake
2015,21.0459995269775,186,0,0,18.4790000915527,235,0,346,86,86,86,129,215,129,215,123,123,123,-18,105,-18,105,0.787090003490448,65,flake
2012,22.1728115081787,229,0,328,16.9245109558105,248,0.00678351987153292,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,24.0613193511963,205,0,332,16.9944362640381,258,0.00657432759180665,353,107,28.5,114,151,258,128,258,91,91,91,20,111,20,111,0.350834727287292,79,glm
2014,29.5741882324219,206,0,325,12.9866743087769,276,0.00538221327587962,2,137,34.75,139,139,276,116,276,84,84,84,24,108,24,108,0.254731297492981,66,glm
2015,22.4617977142334,185,0,328,17.4304389953613,244,0.00898714084178209,358,77,9.75,78,167,244,123,254,113,113,113,0,113,0,113,0.410574316978455,62,glm
2012,17.6218681335449,207,-0.0256831608712673,312,14.8991641998291,240,3.4541301374702e-08,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,19.0075626373291,206,0,88,14.6610774993896,242,0,88,93,93,93,145,238,145,238,176,176,176,-48,128,-48,128,0.989324569702148,100,gotm
2014,23.385986328125,205,-0.131801038980484,335,15.3299961090088,236,3.60133705331478e-42,105,96,96,96,137,233,137,233,148,148,148,-42,106,-42,106,0.55040568113327,62,gotm
2015,20.0111885070801,184,-0.192497625946999,324,15.1150913238525,239,5.78055571024119e-37,109,77,26.3333333333333,79,159,236,147,236,140,140,140,-30,110,-30,110,0.60563588142395,63,gotm
2012,21.3439998626709,207,0,334,14.0310001373291,259,1.12769997119904,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,22.5300006866455,205,0,0,11.9899997711182,279,0.0512409992516041,339,132,132,132,138,270,138,270,160,160,160,-32,128,-32,128,0.992200016975403,100,simstrat
2014,26.7329998016357,204,0,0,12.7480001449585,277,0.130030006170273,0,160,160,160,116,276,116,276,132,132,132,-30,102,-30,102,0.560590028762817,62,simstrat
2015,23.1630001068115,185,0,0,14.7880001068115,258,0.0121590001508594,345,135,135,135,122,257,122,257,141,141,141,-26,115,-26,115,0.653580009937286,62,simstrat
