year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2011,22.0610008239746,190,8.45100021362305,311,17.2059993743896,248,8.44699954986572,311,99,50,100,153,252,151,252,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,21.2399997711182,229,9.25,131,18.3840007781982,205,8.9040002822876,131,44,11.8571428571429,83,206,250,133,250,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,20.9519996643066,219,7.76700019836426,127,14.548999786377,267,6.30999994277954,127,131,69,138,136,267,128,267,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,25.2229995727539,203,3.61800003051758,93,16.9969997406006,238,3.57500004768372,93,54,20,140,184,238,115,282,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2015,20.7549991607666,225,4.80299997329712,103,19.5419998168945,239,4.56199979782104,104,63,11,88,176,239,140,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,20.9850006103516,210,0,344,10.6059999465942,281,1.60860002040863,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,20.6009998321533,219,0,0,12.0550003051758,270,1.81840002536774,0,142,142,142,128,270,128,270,66,131,132,-22,109,-22,111,0.532379984855652,83,flake
2014,22.5960006713867,217,0,16,22.5960006713867,217,1.2059999704361,16,16,16,16,157,173,157,173,45,45,45,16,61,16,61,0.207149997353554,31,flake
2015,20.2089996337891,236,0,0,16.7719993591309,249,1.44939994812012,55,75,75,75,174,249,174,249,29.5,58,59,-5,53,-5,56,0.126350000500679,47,flake
2012,20.0461139678955,229,0,337,19.2831649780273,231,0.00880731455981731,359,11,2.75,22,186,197,148,230,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,23.2797813415527,208,0,5,19.1769256591797,220,0.0114551205188036,10,12,2.09090909090909,23,206,218,140,237,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,21.309139251709,216,0.00315573043189943,13,20.6187133789062,224,0.0149670159444213,30,38,8,48,186,224,141,254,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2015,18.6488761901855,236,0,360,18.4755325317383,237,0.0155072193592787,11,9,1.875,15,215,224,172,252,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,21.2732849121094,229,0.0117591368034482,338,18.8894500732422,237,0.533062100410461,365,78,19.75,79,157,235,157,255,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,23.326192855835,208,1.11656806883927e-36,107,18.421085357666,242,1.73171002386703e-36,107,112,28.75,115,128,240,128,256,136,136,136,-28,108,-28,108,0.481661051511765,81,gotm
2014,25.0174961090088,208,-0.197424978017807,359,17.6326580047607,236,-0.100185096263885,360,57,14.2857142857143,100,178,235,111,257,49,49,49,14,63,14,63,0.193550392985344,30,gotm
2015,21.1773147583008,185,-0.000339120801072568,0,18.5568656921387,243,-0.000509917503222823,0,79,12.7142857142857,89,162,241,141,253,64,64,64,-6,58,-6,58,0.173711344599724,38,gotm
2012,20.2369995117188,218,0,343,19.0149993896484,233,0.653330028057098,365,11,3.09090909090909,34,186,197,160,232,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,23.4230003356934,208,0,0,18.4950008392334,223,0.652260005474091,0,14,3.42857142857143,48,206,220,138,256,133,133,133,-23,110,-23,110,0.466910004615784,81,simstrat
2014,21.4559993743896,208,0,15,18.8549995422363,230,0.165360003709793,364,50,11,66,177,227,140,264,41,41,41,15,56,15,56,0.203590005636215,31,simstrat
2015,18.923999786377,222,0,0,17.9939994812012,239,0.159480005502701,2,20,3.5,35,172,192,164,239,57,57,57,-6,51,-6,51,0.118989996612072,-2,simstrat
