wind_speed,solar_radiation,par_id
1.467,0.779,p0001
1.148,1.235,p0002
1.244,0.6518,p0003
0.6119,1.386,p0004
1.338,0.8983,p0005
0.9174,0.7533,p0006
1.426,0.9601,p0007
1.264,0.7244,p0008
1.348,1.323,p0009
1.292,1.205,p0010
1.227,1.368,p0011
1.08,0.8285,p0012
1.2,0.6307,p0013
1.025,1.488,p0014
0.538,1.318,p0015
1.002,0.5507,p0016
0.9313,1.249,p0017
0.7219,1.223,p0018
1.314,1.08,p0019
0.8504,0.9125,p0020
0.9247,0.6782,p0021
0.8284,0.5752,p0022
1.187,1.441,p0023
1.017,1.175,p0024
0.9064,0.6192,p0025
0.6858,1.009,p0026
0.563,1.427,p0027
0.5096,0.8434,p0028
0.9846,0.8073,p0029
0.9648,0.5889,p0030
1.167,1.331,p0031
0.5144,0.6837,p0032
0.7039,0.8844,p0033
1.206,1.097,p0034
0.7639,1.357,p0035
0.5436,0.9532,p0036
1.114,0.6955,p0037
0.6037,0.6672,p0038
0.6314,1.252,p0039
1.387,1.194,p0040
1.355,0.5357,p0041
1.392,1.052,p0042
0.5759,0.9028,p0043
1.481,0.7833,p0044
1.499,0.5609,p0045
1.06,0.7431,p0046
0.5535,1.271,p0047
0.8087,1.436,p0048
1.303,0.7183,p0049
0.9596,1.079,p0050
1.103,0.9707,p0051
1.178,0.7621,p0052
1.431,0.9383,p0053
1.366,0.7336,p0054
0.8737,1.3,p0055
1.328,1.033,p0056
1.471,1.129,p0057
1.274,0.878,p0058
1.032,1.496,p0059
1.077,1.396,p0060
0.7926,0.7094,p0061
0.6926,1.16,p0062
0.7345,0.8557,p0063
0.6442,1.475,p0064
0.659,1.189,p0065
0.6682,0.6056,p0066
0.7452,0.5476,p0067
1.04,0.7996,p0068
0.7585,1.102,p0069
1.238,1.265,p0070
1.447,0.5177,p0071
0.8966,1.403,p0072
0.9768,0.6466,p0073
0.7829,1.347,p0074
0.8332,0.9994,p0075
0.9488,0.8163,p0076
1.451,1.017,p0077
0.8669,1.139,p0078
1.376,1.028,p0079
1.123,1.302,p0080
1.282,0.8399,p0081
1.219,0.9871,p0082
1.26,1.413,p0083
0.8864,0.9288,p0084
1.402,1.462,p0085
0.8402,0.6235,p0086
0.9943,0.8611,p0087
1.419,1.117,p0088
0.6789,0.5019,p0089
1.058,1.216,p0090
0.5854,1.066,p0091
1.158,1.281,p0092
0.7775,1.156,p0093
0.5982,1.143,p0094
0.7145,0.5955,p0095
0.8196,1.458,p0096
1.135,1.372,p0097
0.5209,0.5208,p0098
0.6224,1.05,p0099
1.091,0.9456,p0100
