year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2009,4.4803,364,4.4803,364,4.4803,364,4.4803,364,NA,NA,NA,NA,NA,NA,NA,p0001,FLake
2010,16.693,195,2.3102,358,12.257,281,2.396,359,127,127,127,147,274,147,274,p0001,FLake
2011,14.796,213,2.3651,8,14.349,229,2.3651,8,29,18,36,113,142,113,219,p0001,FLake
2012,16.216,226,5.5129,352,12.086,270,5.5129,352,121,121,121,147,268,147,268,p0001,FLake
2013,18.859,202,4.4026,89,13.809,279,4.3937,94,78,78,78,175,253,175,253,p0001,FLake
2014,18.886,205,4.5429,46,10.811,295,4.5429,46,179,90,180,110,289,110,292,p0001,FLake
2009,4.835,364,4.835,364,4.835,364,4.835,364,NA,NA,NA,NA,NA,NA,NA,p0002,FLake
2010,20.314,195,2.9849,358,9.4253,313,3.0726,359,200,200,200,106,306,106,306,p0002,FLake
2011,20.777,193,2.9365,8,10.531,309,2.9365,8,204,204,204,96,300,96,300,p0002,FLake
2012,20.036,222,5.9521,33,12.882,275,5.9403,36,133,34.75,139,138,271,126,271,p0002,FLake
2013,24.292,200,5.1993,27,12.915,295,5.1993,27,144,144,144,143,287,143,287,p0002,FLake
2014,22.39,205,5.0092,44,10.762,307,5.0092,44,198,67,201,100,298,100,304,p0002,FLake
2009,4.4292,364,4.4292,364,4.4292,364,4.4292,364,NA,NA,NA,NA,NA,NA,NA,p0003,FLake
2010,16.769,195,2.2371,358,9.5873,302,2.5149,360,165,165,165,131,296,131,296,p0003,FLake
2011,15.755,207,2.2924,8,10.76,296,2.3405,9,178,178,178,112,290,112,290,p0003,FLake
2012,15.835,226,5.4047,352,10.373,282,5.4047,352,128,128,128,147,275,147,275,p0003,FLake
2013,17.957,208,4.0026,93,12.481,283,3.9856,94,84,50,100,175,259,175,282,p0003,FLake
2014,17.465,205,4.4211,46,9.6395,308,4.4211,46,185,62.6666666666667,188,112,297,112,304,p0003,FLake
2009,5.4104,364,5.4104,364,5.4104,364,5.4104,364,NA,NA,NA,NA,NA,NA,NA,p0004,FLake
2010,23.532,171,4.0276,13,8.3445,326,4.0236,12,230,230,230,85,315,85,315,p0004,FLake
2011,23.247,194,3.04,25,7.2258,342,3.7882,33,257,257,257,77,334,77,334,p0004,FLake
2012,22.577,223,5.7318,33,8.5901,321,5.7308,36,235,235,235,72,307,72,307,p0004,FLake
2013,27.365,200,5.1669,27,8.2633,324,5.1669,27,221,221,221,92,313,92,313,p0004,FLake
2014,24.879,205,5.1851,44,8.6814,329,5.1851,44,237,237,237,83,320,83,320,p0004,FLake
2009,4.6231,364,4.6231,364,4.6231,364,4.6231,364,NA,NA,NA,NA,NA,NA,NA,p0005,FLake
2010,18.009,195,2.4946,358,10.631,296,2.7309,360,173,173,173,119,292,119,292,p0005,FLake
2011,17.869,193,2.5346,8,12.549,286,2.5346,8,172,172,172,107,279,107,279,p0005,FLake
2012,17.239,229,5.6575,352,12.277,273,5.6575,352,120,120,120,148,268,148,268,p0005,FLake
2013,20.256,202,4.7599,56,14.187,279,4.723,57,78,78,78,174,252,174,252,p0005,FLake
2014,19.849,205,4.6715,44,10.773,303,4.6715,44,185,185,185,108,293,108,293,p0005,FLake
2009,4.5842,364,4.5842,364,4.5842,364,4.5842,364,NA,NA,NA,NA,NA,NA,NA,p0006,FLake
2010,17.428,195,1.1632,361,7.3838,325,3.0413,13,201,201,201,112,313,112,313,p0006,FLake
2011,16.831,194,0.73805,12,9.0369,329,3.0967,33,197,197,197,111,308,111,308,p0006,FLake
2012,17.153,226,5.4885,352,8.4576,305,5.4885,352,172,44,176,122,294,92,294,p0006,FLake
2013,20.681,202,4.4588,89,7.7511,322,4.4489,94,183,183,183,125,308,125,308,p0006,FLake
2014,18.06,205,4.5107,46,8.1702,326,4.5004,48,205,205,205,107,312,107,312,p0006,FLake
2009,4.6442,364,4.6442,364,4.6442,364,4.6442,364,NA,NA,NA,NA,NA,NA,NA,p0007,FLake
2010,18.31,195,2.5153,358,11.472,292,2.5972,359,171,171,171,119,290,119,290,p0007,FLake
2011,18.01,193,2.5558,8,13.336,272,2.5558,8,153,153,153,110,263,110,263,p0007,FLake
2012,17.511,229,5.7026,352,12.802,269,5.7026,352,120,120,120,147,267,147,267,p0007,FLake
2013,20.811,202,4.8429,56,14.304,279,4.8047,57,96,96,96,161,257,161,257,p0007,FLake
2014,20.325,205,4.7269,44,11.041,299,4.7269,44,186,186,186,107,293,107,293,p0007,FLake
2009,4.4866,364,4.4866,364,4.4866,364,4.4866,364,NA,NA,NA,NA,NA,NA,NA,p0008,FLake
2010,17.414,195,2.2707,358,9.0011,311,2.5407,360,186,186,186,114,300,114,300,p0008,FLake
2011,16.307,207,2.3344,8,11.082,293,2.3344,8,179,179,179,111,290,111,290,p0008,FLake
2012,16.112,226,5.4926,352,11.469,275,5.4926,352,120,120,120,150,270,150,270,p0008,FLake
2013,20.138,202,4.2597,89,9.6388,306,4.2147,94,166,83.5,167,138,304,136,304,p0008,FLake
2014,18.207,205,4.4739,46,9.8944,307,4.4739,46,186,186,186,111,297,111,297,p0008,FLake
2009,4.9552,364,4.9552,364,4.9552,364,4.9552,364,NA,NA,NA,NA,NA,NA,NA,p0009,FLake
2010,20.863,167,3.0119,358,11.368,299,3.0301,359,189,189,189,105,294,105,294,p0009,FLake
2011,20.912,193,2.9404,8,13.54,286,2.9404,8,177,177,177,102,279,102,279,p0009,FLake
2012,20.109,222,6.0054,33,13.97,269,5.9915,36,122,122,122,145,267,145,267,p0009,FLake
2013,24.594,200,5.2057,27,13.519,288,5.2057,27,141,141,141,143,284,143,284,p0009,FLake
2014,22.648,205,5.0756,44,12.198,294,5.0756,44,180,180,180,108,288,108,288,p0009,FLake
2009,4.8796,364,4.8796,364,4.8796,364,4.8796,364,NA,NA,NA,NA,NA,NA,NA,p0010,FLake
2010,19.923,167,2.9219,358,11.353,296,2.9787,359,183,183,183,110,293,110,293,p0010,FLake
2011,20.333,193,2.8731,8,11.696,296,2.8731,8,194,194,194,97,291,97,291,p0010,FLake
2012,19.499,222,5.9181,33,13.54,269,5.9074,36,121,121,121,147,268,147,268,p0010,FLake
2013,23.942,200,5.1348,27,12.805,295,5.1348,27,143,143,143,144,287,144,287,p0010,FLake
2014,22.162,205,4.9651,44,11.408,299,4.9651,44,191,191,191,103,294,103,294,p0010,FLake
2009,5.0466,364,5.0466,364,5.0466,364,5.0466,364,NA,NA,NA,NA,NA,NA,NA,p0011,FLake
2010,21.131,167,3.2225,359,11.463,299,3.2225,359,190,190,190,105,295,105,295,p0011,FLake
2011,21.866,193,3.1035,8,10.297,317,3.1035,8,228,228,228,81,309,81,309,p0011,FLake
2012,20.97,222,6.0285,33,12.742,135,6.0149,36,134,46.3333333333333,139,143,277,126,277,p0011,FLake
2013,24.991,200,5.2652,27,13.714,288,5.2652,27,142,142,142,142,284,142,284,p0011,FLake
2014,23.118,205,5.13,44,11.286,305,5.13,44,201,201,201,96,297,96,297,p0011,FLake
2009,4.6341,364,4.6341,364,4.6341,364,4.6341,364,NA,NA,NA,NA,NA,NA,NA,p0012,FLake
2010,17.968,195,2.5282,358,8.3032,317,2.7646,360,201,201,201,109,310,109,310,p0012,FLake
2011,17.71,193,2.4385,10,9.1546,328,2.7781,7,210,210,210,98,308,98,308,p0012,FLake
