year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2009,4.1941,364,4.1941,364,4.1941,364,4.1941,364,NA,NA,NA,NA,NA,NA,NA,p0001,FLake
2010,18.219,195,1.5214,364,8.36,315,2.49,13,197,197,197,113,310,113,310,p0001,FLake
2011,17.329,193,0.73685,23,8.9412,329,2.9682,33,211,211,211,98,309,98,309,p0001,FLake
2012,17.027,226,5.3217,355,11.23,279,5.3217,355,128,128,128,144,272,144,272,p0001,FLake
2013,20.33,208,4.4883,56,11.372,299,4.4245,56,135,68.5,137,155,290,155,293,p0001,FLake
2014,18.855,205,4.3646,46,8.7501,317,4.3637,47,201,101,202,107,308,104,308,p0001,FLake
2009,4.7936,364,4.7936,364,4.7936,364,4.7936,364,NA,NA,NA,NA,NA,NA,NA,p0002,FLake
2010,21.386,171,2.5203,361,8.5258,322,3.2578,13,217,217,217,96,313,96,313,p0002,FLake
2011,21.764,193,2.5127,10,7.8007,338,3.6024,33,248,248,248,82,330,82,330,p0002,FLake
2012,21.357,226,5.8001,33,9.8462,305,5.8001,33,216,216,216,83,299,83,299,p0002,FLake
2013,25.463,200,5.0469,27,10.671,306,5.0469,27,188,188,188,113,301,113,301,p0002,FLake
2014,22.875,205,5.0684,44,9.1282,321,5.0684,44,222,222,222,90,312,90,312,p0002,FLake
2009,4.0664,364,4.0664,364,4.0664,364,4.0664,364,NA,NA,NA,NA,NA,NA,NA,p0003,FLake
2010,17.614,195,0.80888,62,6.883,326,3.6074,76,196,100,200,118,314,113,314,p0003,FLake
2011,16.189,194,0,23,7.8693,335,3.6174,53,224,113,226,102,326,98,326,p0003,FLake
2012,16.646,232,5.1447,361,9.6657,292,5.1447,361,137,137,137,145,282,145,282,p0003,FLake
2013,19.061,208,4.0878,89,9.4125,150,4.0439,94,149,149,149,155,304,155,304,p0003,FLake
2014,17.503,206,4.1905,46,7.6442,326,4.1844,48,203,203,203,109,312,109,312,p0003,FLake
2009,5.1041,364,5.1041,364,5.1041,364,5.1041,364,NA,NA,NA,NA,NA,NA,NA,p0004,FLake
2010,24.79,171,3.1258,360,5.8906,74,3.8435,13,247,247,247,85,332,85,332,p0004,FLake
2011,24.001,193,2.5189,28,4.3425,364,3.8727,6,262,262,262,78,340,78,340,p0004,FLake
2012,24.574,223,5.4405,3,7.5087,334,4.3456,0,258,258,258,64,322,64,322,p0004,FLake
2013,28.209,200,5.308,27,9.4852,322,5.308,27,221,221,221,91,312,91,312,p0004,FLake
2014,25.819,205,5.7095,44,9.4463,326,5.6755,46,238,238,238,78,316,78,316,p0004,FLake
2009,4.4304,364,4.4304,364,4.4304,364,4.4304,364,NA,NA,NA,NA,NA,NA,NA,p0005,FLake
2010,19,195,1.8346,364,7.0937,327,2.7592,13,215,215,215,99,314,99,314,p0005,FLake
2011,18.379,193,1.2496,23,10.061,309,3.0038,33,192,192,192,107,299,107,299,p0005,FLake
2012,18.251,226,5.4919,33,11.377,282,5.4919,33,132,132,132,143,275,143,275,p0005,FLake
2013,21.713,208,4.6906,27,11.092,301,4.6767,56,153,153,153,145,298,145,298,p0005,FLake
2014,19.901,205,4.554,46,9.119,316,4.5486,47,203,203,203,105,308,105,308,p0005,FLake
2009,4.0843,364,4.0843,364,4.0843,364,4.0843,364,NA,NA,NA,NA,NA,NA,NA,p0006,FLake
2010,17.976,195,0.14621,15,5.1134,334,3.339,72,213,213,213,106,319,106,319,p0006,FLake
2011,17.132,193,0,19,6.1999,342,3.7121,63,235,235,235,98,333,98,333,p0006,FLake
2012,18.054,232,4.8453,33,7.2315,321,4.8453,33,202,106.5,213,100,302,83,302,p0006,FLake
2013,20.962,202,4.1521,56,7.25,323,4.0899,56,190,190,190,120,310,120,310,p0006,FLake
2014,19.121,206,4.2514,46,7.0879,331,4.2465,47,213,213,213,103,316,103,316,p0006,FLake
2009,4.4957,364,4.4957,364,4.4957,364,4.4957,364,NA,NA,NA,NA,NA,NA,NA,p0007,FLake
2010,19.212,195,1.8645,364,8.9486,314,2.7866,13,200,101,202,106,306,106,309,p0007,FLake
2011,19.06,193,1.5097,0,9.1845,328,3.2128,33,213,213,213,96,309,96,309,p0007,FLake
2012,19.103,226,5.5196,33,10.922,288,5.5196,33,138,138,138,143,281,143,281,p0007,FLake
2013,21.774,208,4.7275,27,11.543,300,4.7275,27,142,142,142,154,296,154,296,p0007,FLake
2014,20.358,205,4.6246,46,9.2205,316,4.6192,47,204,204,204,103,307,103,307,p0007,FLake
2009,4.1534,364,4.1534,364,4.1534,364,4.1534,364,NA,NA,NA,NA,NA,NA,NA,p0008,FLake
2010,17.971,195,1.2618,16,7.0078,326,3.6041,74,201,201,201,113,314,113,314,p0008,FLake
2011,16.921,193,0.075774,23,8.4662,331,3.5256,49,216,74.6666666666667,224,98,314,98,325,p0008,FLake
2012,17.204,232,5.1365,361,9.2889,143,5.1365,361,155,155,155,144,299,144,299,p0008,FLake
2013,19.882,208,4.3018,56,9.9614,150,4.2438,56,147,147,147,155,302,155,302,p0008,FLake
2014,18.232,206,4.3042,46,7.9608,325,4.301,48,205,103,206,107,312,104,312,p0008,FLake
2009,4.6904,364,4.6904,364,4.6904,364,4.6904,364,NA,NA,NA,NA,NA,NA,NA,p0009,FLake
2010,21.858,167,2.428,361,9.2475,315,3.1106,13,218,109.5,219,95,313,90,313,p0009,FLake
2011,22.087,193,2.443,10,8.7851,334,3.3018,22,246,246,246,81,327,81,327,p0009,FLake
2012,21.282,226,5.8658,33,12.559,285,5.8658,33,169,169,169,110,279,110,279,p0009,FLake
2013,25.658,200,5.1579,27,12.426,300,5.1579,27,170,170,170,126,296,126,296,p0009,FLake
2014,23.054,174,5.1375,44,9.6392,317,5.1375,44,219,219,219,90,309,90,309,p0009,FLake
2009,4.5909,364,4.5909,364,4.5909,364,4.5909,364,NA,NA,NA,NA,NA,NA,NA,p0010,FLake
2010,21.065,167,2.162,364,9.0532,315,3.022,13,215,215,215,97,312,97,312,p0010,FLake
2011,21.368,193,2.0284,0,8.1313,337,3.5818,33,246,246,246,82,328,82,328,p0010,FLake
2012,20.689,226,5.7484,33,12.375,132,5.7484,33,139,139,139,141,280,141,280,p0010,FLake
2013,25.054,200,5.0626,27,10.53,306,5.0626,27,185,185,185,116,301,116,301,p0010,FLake
2014,22.343,205,4.978,44,9.3056,318,4.978,44,221,221,221,90,311,90,311,p0010,FLake
2009,4.9011,364,4.9011,364,4.9011,364,4.9011,364,NA,NA,NA,NA,NA,NA,NA,p0011,FLake
2010,22.283,171,2.6375,361,8.3357,325,3.3408,13,214,214,214,100,314,100,314,p0011,FLake
2011,22.581,193,2.6748,10,8.2872,337,3.4464,22,249,249,249,79,328,79,328,p0011,FLake
2012,21.851,222,5.9313,33,12.042,291,5.9313,33,185,185,185,101,286,101,286,p0011,FLake
2013,26.232,200,5.2665,27,11.628,303,5.2665,27,187,187,187,113,300,113,300,p0011,FLake
2014,23.698,205,5.2276,44,9.741,317,5.2276,44,221,221,221,89,310,89,310,p0011,FLake
2009,4.4127,364,4.4127,364,4.4127,364,4.4127,364,NA,NA,NA,NA,NA,NA,NA,p0012,FLake
2010,18.555,195,1.5902,363,6.1646,331,3.7695,73,216,108.5,217,100,316,100,318,p0012,FLake
2011,18.141,193,0.47894,28,7.4068,338,3.7065,53,231,231,231,97,328,97,328,p0012,FLake
2012,18.203,226,5.3573,33,8.9877,304,5.3573,33,186,94.5,189,109,295,103,295,p0012,FLake
2013,21.748,202,4.4209,27,8.0179,319,4.3821,56,189,189,189,119,308,119,308,p0012,FLake
2014,19.494,205,4.4455,46,8.2849,323,4.4397,47,207,207,207,104,311,104,311,p0012,FLake
2009,4.0518,364,4.0518,364,4.0518,364,4.0518,364,NA,NA,NA,NA,NA,NA,NA,p0013,FLake
2010,17.432,195,0.043712,357,6.8096,326,3.7037,77,196,99,198,118,314,114,314,p0013,FLake
2011,16.002,194,0,0,7.5256,337,3.3467,49,224,113,226,103,327,98,327,p0013,FLake
2012,16.745,232,4.9645,361,8.8083,143,4.9645,361,155,155,155,144,299,144,299,p0013,FLake
2013,19.851,208,3.9999,89,7.1509,322,3.9846,92,182,182,182,126,308,126,308,p0013,FLake
2014,17.378,206,4.1294,46,7.4572,327,4.1221,48,205,103,206,108,313,104,313,p0013,FLake
2009,5.1176,364,5.1176,364,5.1176,364,5.1176,364,NA,NA,NA,NA,NA,NA,NA,p0014,FLake
2010,23.806,171,3.6606,13,10.713,311,3.6606,13,207,207,207,97,304,97,304,p0014,FLake
2011,23.752,193,3.8149,9,8.0703,338,3.8153,9,258,258,258,73,331,73,331,p0014,FLake
2012,23.652,222,6.1134,33,10.159,307,6.1134,33,221,221,221,80,301,80,301,p0014,FLake
2013,27.64,200,5.3776,27,10.425,310,5.3776,27,205,205,205,100,305,100,305,p0014,FLake
2014,25.213,205,5.4756,44,9.8378,318,5.4756,44,226,226,226,85,311,85,311,p0014,FLake
2009,6.2085,364,6.2085,364,6.2085,364,6.2085,364,NA,NA,NA,NA,NA,NA,NA,p0015,FLake
2010,24.55,176,4.5704,31,9.0769,324,4.5256,31,230,230,230,85,315,85,315,p0015,FLake
2011,23.773,193,3.6489,31,6.8722,346,3.9285,22,262,262,262,74,336,74,336,p0015,FLake
2012,24.311,223,5.757,33,10.356,314,5.7365,33,220,220,220,86,306,86,306,p0015,FLake
2013,27.673,200,5.7217,36,9.4493,323,5.6578,36,222,222,222,91,313,91,313,p0015,FLake
2014,25.507,206,5.7452,44,9.2406,327,5.7088,46,238,119.5,239,80,318,78,318,p0015,FLake
2009,3.8405,364,3.8405,364,3.8405,364,3.8405,364,NA,NA,NA,NA,NA,NA,NA,p0016,FLake
2010,16.245,209,0.25927,15,5.0774,333,3.0132,77,184,92.5,185,130,314,128,314,p0016,FLake
2011,15.421,194,0,4,6.1962,342,3.8223,84,219,219,219,109,328,109,328,p0016,FLake
2012,16.336,232,4.6931,361,6.8523,320,4.6931,361,179,179,179,121,300,121,300,p0016,FLake
2013,18.564,208,3.5159,61,6.096,328,3.582,89,175,88,176,135,310,126,310,p0016,FLake
2014,16.896,206,3.8576,46,6.4613,335,3.8576,46,206,206,206,110,316,110,316,p0016,FLake
2009,4.9373,364,4.9373,364,4.9373,364,4.9373,364,NA,NA,NA,NA,NA,NA,NA,p0017,FLake
2010,22.255,171,3.138,361,7.7452,328,3.4923,13,220,112,224,95,315,90,315,p0017,FLake
2011,22.203,193,2.2523,10,6.9643,342,3.7118,35,253,253,253,80,333,80,333,p0017,FLake
2012,22.068,226,5.6542,33,9.0513,313,5.6542,33,225,113,226,79,304,77,304,p0017,FLake
2013,26.101,200,5.0112,27,9.8028,311,5.0112,27,200,200,200,106,306,106,306,p0017,FLake
2014,23.677,205,5.1496,44,8.8678,325,5.1496,44,226,226,226,87,313,87,313,p0017,FLake
2009,5.262,364,5.262,364,5.262,364,5.262,364,NA,NA,NA,NA,NA,NA,NA,p0018,FLake
2010,22.653,171,2.5985,360,5.2361,74,3.8351,13,240,240,240,90,330,90,330,p0018,FLake
2011,22.503,193,1.8784,28,6.944,342,3.9298,2,251,251,251,82,333,82,333,p0018,FLake
2012,22.697,226,5.4338,33,8.3469,325,5.4338,33,232,232,232,76,308,76,308,p0018,FLake
2013,26.1,200,5.0828,27,8.4299,324,5.0828,27,210,105.5,211,103,313,103,315,p0018,FLake
2014,24.338,205,5.1998,44,8.8075,326,5.162,46,231,231,231,85,316,85,316,p0018,FLake
2009,4.6105,364,4.6105,364,4.6105,364,4.6105,364,NA,NA,NA,NA,NA,NA,NA,p0019,FLake
2010,20.199,167,1.921,364,8.1848,322,2.9752,13,215,215,215,98,313,98,313,p0019,FLake
2011,20.383,193,1.7148,0,8.4793,334,3.3904,33,237,120.5,241,90,327,85,327,p0019,FLake
2012,19.881,226,5.6251,33,12.206,281,5.6251,33,133,133,133,142,275,142,275,p0019,FLake
2013,23.325,200,4.9134,27,11.067,303,4.9134,27,170,170,170,129,299,129,299,p0019,FLake
2014,21.455,205,4.8139,44,9.4481,316,4.8062,47,209,209,209,99,308,99,308,p0019,FLake
2009,4.3789,364,4.3789,364,4.3789,364,4.3789,364,NA,NA,NA,NA,NA,NA,NA,p0020,FLake
2010,19.277,175,1.1442,15,6.0974,332,3.516,62,220,220,220,98,318,98,318,p0020,FLake
2011,19.098,193,1.0424,28,6.3362,343,3.9451,2,236,236,236,97,333,97,333,p0020,FLake
2012,19.934,226,5.0155,33,7.4943,324,5.0155,33,222,222,222,83,305,83,305,p0020,FLake
