year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2009,3.9661,364,3.9661,364,3.9661,364,3.9661,364,NA,NA,NA,NA,NA,NA,NA,p0001,FLake
2010,16.41,195,0.94766,364,9.912,298,2.3105,13,146,146,146,146,292,146,292,p0001,FLake
2011,13.473,225,0.28169,12,13.473,225,2.6188,38,NA,NA,NA,NA,NA,NA,NA,p0001,FLake
2012,16.554,226,5.6171,33,11.082,285,5.6171,33,132,132,132,146,278,146,278,p0001,FLake
2013,20.321,206,4.2652,89,11.717,299,4.2652,89,135,135,135,156,291,156,291,p0001,FLake
2014,18.319,205,4.857,46,11.002,293,4.857,46,154,154,154,133,287,133,287,p0001,FLake
2009,4.4313,364,4.4313,364,4.4313,364,4.4313,364,NA,NA,NA,NA,NA,NA,NA,p0002,FLake
2010,20.127,175,0.92365,364,8.4751,314,2.7659,54,205,205,205,105,310,105,310,p0002,FLake
2011,18.436,194,0.24423,9,10.051,325,3.2215,40,206,206,206,105,311,105,311,p0002,FLake
2012,20.271,226,5.9387,33,9.777,309,5.9387,33,219,219,219,86,305,86,305,p0002,FLake
2013,25.448,200,5.3514,26,9.808,313,5.3514,26,189,63.6666666666667,191,119,308,114,308,p0002,FLake
2014,21.962,205,5.3875,44,9.6943,312,5.3875,44,208,208,208,97,305,97,305,p0002,FLake
2009,3.7705,364,3.7705,364,3.7705,364,3.7705,364,NA,NA,NA,NA,NA,NA,NA,p0003,FLake
2010,15.799,192,0,358,7.2773,314,2.1883,76,172,172,172,138,310,138,310,p0003,FLake
2011,14.125,213,0,0,9.0119,329,3.1517,53,196,51.25,205,124,320,110,323,p0003,FLake
2012,16.118,232,5.4498,33,9.9022,299,5.4498,33,138,138,138,146,284,146,284,p0003,FLake
2013,19.618,208,3.9911,94,8.3964,318,3.9871,95,168,168,168,140,308,140,308,p0003,FLake
2014,17.6,205,4.6897,46,7.9598,324,4.6897,46,197,197,197,111,308,111,308,p0003,FLake
2009,4.7974,364,4.7974,364,4.7974,364,4.7974,364,NA,NA,NA,NA,NA,NA,NA,p0004,FLake
2010,22.807,174,2.1215,40,7.1659,327,3.9243,25,215,215,215,98,313,98,313,p0004,FLake
2011,21.483,193,1.1024,29,7.4868,342,3.9337,2,242,242,242,92,334,92,334,p0004,FLake
2012,23.724,222,5.8662,33,7.4445,76,3.97999999999997,206,253,253,253,86,339,86,339,p0004,FLake
2013,28.081,200,5.1949,27,7.354,353,4.391,0,233,117,234,94,327,78,327,p0004,FLake
2014,24.779,168,5.7114,44,9.6604,323,5.6768,46,223,223,223,88,311,88,311,p0004,FLake
2009,4.1333,364,4.1333,364,4.1333,364,4.1333,364,NA,NA,NA,NA,NA,NA,NA,p0005,FLake
2010,18.049,195,0.797,364,7.835,314,2.4872,13,192,192,192,118,310,118,310,p0005,FLake
2011,15.819,194,0.18856,2,9.7715,324,2.6324,33,198,198,198,112,310,112,310,p0005,FLake
2012,17.34,226,5.676,33,11.233,288,5.676,33,133,133,133,145,278,145,278,p0005,FLake
2013,21.634,206,4.5927,89,9.3122,312,4.5927,89,178,178,178,129,307,129,307,p0005,FLake
2014,19.313,205,4.974,46,9.1097,312,4.974,46,198,198,198,107,305,107,305,p0005,FLake
2009,3.7285,364,3.7285,364,3.7285,364,3.7285,364,NA,NA,NA,NA,NA,NA,NA,p0006,FLake
2010,16.724,175,0,15,5.984,327,3.2633,85,183,183,183,128,311,128,311,p0006,FLake
2011,14.89,217,0,0,6.6884,343,3.173,69,227,227,227,109,336,109,336,p0006,FLake
2012,17.083,232,5.2772,33,7.9887,326,5.2772,33,195,98,196,111,306,105,306,p0006,FLake
2013,20.945,208,4.3322,90,7.401,346,4.3269,92,184,184,184,129,313,129,313,p0006,FLake
2014,18.613,206,4.8046,46,7.6787,328,4.8046,46,203,203,203,108,311,108,311,p0006,FLake
2009,4.1633,364,4.1633,364,4.1633,364,4.1633,364,NA,NA,NA,NA,NA,NA,NA,p0007,FLake
2010,18.228,195,1.0408,364,8.0718,314,2.2426,54,192,97,194,117,309,114,309,p0007,FLake
2011,14.386,219,0.47031,10,14.386,219,2.7457,33,NA,NA,NA,NA,NA,NA,NA,p0007,FLake
2012,17.557,229,5.7568,33,11.761,284,5.7568,33,131,131,131,145,276,145,276,p0007,FLake
2013,21.574,206,4.7087,89,12.582,295,4.7087,89,131,131,131,155,286,155,286,p0007,FLake
2014,19.981,205,5.0731,46,9.8056,307,5.0731,46,190,190,190,107,297,107,297,p0007,FLake
2009,3.8517,364,3.8517,364,3.8517,364,3.8517,364,NA,NA,NA,NA,NA,NA,NA,p0008,FLake
2010,16.816,195,0.36835,364,7.6807,314,2.2606,73,167,85.5,171,137,304,137,309,p0008,FLake
2011,14.646,194,0,1,9.1562,329,2.9325,52,198,99.5,199,116,314,116,318,p0008,FLake
2012,16.406,232,5.519,33,10.563,289,5.519,33,136,136,136,145,281,145,281,p0008,FLake
2013,20.355,206,4.1839,90,9.0681,312,4.1448,94,163,82.5,165,143,306,140,306,p0008,FLake
2014,18.027,206,4.7841,46,8.1753,323,4.7841,46,199,199,199,109,308,109,308,p0008,FLake
2009,4.4725,364,4.4725,364,4.4725,364,4.4725,364,NA,NA,NA,NA,NA,NA,NA,p0009,FLake
2010,20.439,175,1.6452,364,9.0535,312,2.8067,13,200,200,200,104,304,104,304,p0009,FLake
2011,18.597,194,0.91491,12,11.364,307,3.2982,33,194,194,194,104,298,104,298,p0009,FLake
2012,20.56,226,6.0127,33,10.241,307,6.0127,33,215,215,215,86,301,86,301,p0009,FLake
2013,25.555,200,5.3707,26,10.971,306,5.3707,26,186,62.6666666666667,188,119,305,114,305,p0009,FLake
2014,22.177,205,5.4431,44,10.615,306,5.4431,44,197,197,197,100,297,100,297,p0009,FLake
2009,4.3633,364,4.3633,364,4.3633,364,4.3633,364,NA,NA,NA,NA,NA,NA,NA,p0010,FLake
2010,19.782,175,1.2068,364,8.5406,313,2.687,54,203,203,203,106,309,106,309,p0010,FLake
2011,17.938,194,0.72212,10,10.605,317,3.1621,33,196,99,198,105,301,105,304,p0010,FLake
2012,20.027,226,5.9209,33,9.9432,307,5.9209,33,215,215,215,86,301,86,301,p0010,FLake
2013,24.838,200,5.2803,26,10.039,311,5.2803,26,187,94,188,120,307,116,307,p0010,FLake
2014,21.647,205,5.3231,44,9.8909,310,5.3231,44,205,205,205,99,304,99,304,p0010,FLake
2009,4.4636,364,4.4636,364,4.4636,364,4.4636,364,NA,NA,NA,NA,NA,NA,NA,p0011,FLake
2010,20.838,175,1.6318,364,9.1045,312,2.8857,13,202,202,202,103,305,103,305,p0011,FLake
2011,19.128,194,1.0822,11,11.005,312,3.389,34,196,196,196,103,299,103,299,p0011,FLake
2012,20.792,226,6.056,33,10.169,308,6.056,33,218,218,218,85,303,85,303,p0011,FLake
2013,26.103,200,5.4565,26,10.537,310,5.4565,26,186,95.5,191,119,305,113,305,p0011,FLake
2014,22.536,205,5.5141,44,10.283,309,5.5141,44,202,68.6666666666667,206,96,298,96,304,p0011,FLake
2009,3.9492,364,3.9492,364,3.9492,364,3.9492,364,NA,NA,NA,NA,NA,NA,NA,p0012,FLake
2010,17.892,195,0,360,6.8263,321,3.6318,83,191,96,192,120,311,115,311,p0012,FLake
2011,15.762,194,0,0,7.4173,340,3.2409,53,227,114.5,229,106,333,98,333,p0012,FLake
2012,17.177,226,5.4921,33,8.9107,311,5.4921,33,184,94,188,117,301,112,301,p0012,FLake
2013,21.447,200,4.502,90,7.9423,324,4.502,90,182,92,184,129,311,126,311,p0012,FLake
2014,18.827,206,4.9034,46,8.147,325,4.9034,46,202,202,202,107,309,107,309,p0012,FLake
2009,3.7476,364,3.7476,364,3.7476,364,3.7476,364,NA,NA,NA,NA,NA,NA,NA,p0013,FLake
2010,15.518,192,0,29,7.425,314,3.2722,89,171,171,171,138,309,138,309,p0013,FLake
2011,13.802,217,0,0,8.7461,331,3.2669,53,199,68.3333333333333,205,126,325,110,325,p0013,FLake
2012,16.061,232,5.4143,33,10.093,295,5.4143,33,137,137,137,146,283,146,283,p0013,FLake
2013,19.187,208,3.9424,94,8.6854,313,3.9424,94,163,163,163,144,307,144,307,p0013,FLake
2014,17.515,205,4.6736,46,7.7325,326,4.6736,46,198,198,198,112,310,112,310,p0013,FLake
2009,4.6445,364,4.6445,364,4.6445,364,4.6445,364,NA,NA,NA,NA,NA,NA,NA,p0014,FLake
2010,22.198,175,1.7849,364,7.9761,320,3.1181,14,214,214,214,97,311,97,311,p0014,FLake
2011,20.999,193,1.0544,13,7.6891,341,3.3957,36,252,252,252,83,335,83,335,p0014,FLake
2012,22.148,222,6.0009,33,9.574,324,6.0009,33,227,227,227,80,307,80,307,p0014,FLake
2013,27.243,200,5.6374,26,10.309,313,5.6374,26,198,198,198,110,308,110,308,p0014,FLake
2014,23.59,205,5.7113,44,10.576,309,5.7113,44,209,209,209,95,304,95,304,p0014,FLake
2009,4.7679,364,4.7679,364,4.7679,364,4.7679,364,NA,NA,NA,NA,NA,NA,NA,p0015,FLake
2010,22.61,174,1.7085,40,7.0898,327,3.688,64,214,214,214,99,313,99,313,p0015,FLake
2011,21.165,193,0.99933,29,7.1099,345,3.9103,7,242,242,242,93,335,93,335,p0015,FLake
2012,22.559,226,5.7715,33,9.5818,328,5.7673,34,232,232,232,88,320,88,320,p0015,FLake
2013,27.838,200,6.0635,37,8.7146,337,6.013,54,224,224,224,98,322,98,322,p0015,FLake
2014,24.372,206,5.8834,44,9.7608,323,5.84,46,223,223,223,88,311,88,311,p0015,FLake
2009,3.5512,364,3.5512,364,3.5512,364,3.5512,364,NA,NA,NA,NA,NA,NA,NA,p0016,FLake
2010,14.416,195,0,13,6.2255,319,3.0309,95,173,173,173,137,310,137,310,p0016,FLake
2011,13.21,226,0,0,7.0772,341,3.0662,80,186,63.3333333333333,190,146,332,140,332,p0016,FLake
2012,16.025,232,5.213,33,7.7106,324,5.213,33,167,42.5,170,136,303,123,303,p0016,FLake
2013,18.565,208,3.701,94,7.0623,346,3.701,94,172,172,172,140,312,140,312,p0016,FLake
2014,16.916,206,4.5233,46,6.8744,335,4.5233,46,200,200,200,112,312,112,312,p0016,FLake
2009,4.3844,364,4.3844,364,4.3844,364,4.3844,364,NA,NA,NA,NA,NA,NA,NA,p0017,FLake
2010,20.547,175,1.8169,364,8.2675,315,2.896,14,205,205,205,105,310,105,310,p0017,FLake
2011,18.946,194,0.64223,13,9.4334,331,3.5857,50,225,225,225,98,323,98,323,p0017,FLake
2012,20.638,226,5.9346,33,10.249,308,5.9346,33,203,102,204,99,302,92,302,p0017,FLake
2013,25.733,200,5.4878,26,9.7945,316,5.4878,26,190,97,194,119,309,114,309,p0017,FLake
2014,22.213,205,5.4866,44,9.3946,316,5.4866,44,211,211,211,96,307,96,307,p0017,FLake
2009,4.4181,364,4.4181,364,4.4181,364,4.4181,364,NA,NA,NA,NA,NA,NA,NA,p0018,FLake
2010,20.966,174,0.83032,25,5.239,334,3.3935,62,214,214,214,101,315,101,315,p0018,FLake
2011,19.261,194,0,8,6.8614,345,3.5358,64,240,240,240,96,336,96,336,p0018,FLake
2012,21.212,226,5.6088,33,8.2065,331,5.6088,33,240,240,240,81,321,81,321,p0018,FLake
2013,26.194,200,5.4739,26,8.473,332,5.4739,26,209,209,209,108,317,108,317,p0018,FLake
2014,22.763,203,5.5269,44,8.9498,324,5.4832,46,220,220,220,90,310,90,310,p0018,FLake
2009,4.351,364,4.351,364,4.351,364,4.351,364,NA,NA,NA,NA,NA,NA,NA,p0019,FLake
2010,18.943,175,1.0203,364,8.1802,314,2.4921,54,201,201,201,109,310,109,310,p0019,FLake
2011,17.039,194,0.4542,2,10.209,321,2.9273,33,204,204,204,106,310,106,310,p0019,FLake
2012,18.85,226,5.8187,33,9.6888,307,5.8187,33,206,106,212,95,301,88,301,p0019,FLake
2013,23.679,200,5.0337,89,9.7878,311,5.0337,89,185,185,185,122,307,122,307,p0019,FLake
2014,21.013,205,5.1842,44,9.5747,311,5.1842,44,200,200,200,104,304,104,304,p0019,FLake
2009,3.9622,364,3.9622,364,3.9622,364,3.9622,364,NA,NA,NA,NA,NA,NA,NA,p0020,FLake
2010,18.401,175,0,16,6.5835,325,3.4377,75,198,198,198,113,311,113,311,p0020,FLake
2011,16.592,194,0,3,6.462,346,3.4899,74,233,117,234,104,337,98,337,p0020,FLake
2012,18.302,226,5.3539,33,8.4555,325,5.3539,33,206,206,206,100,306,100,306,p0020,FLake
2013,22.503,200,4.8483,89,7.5495,346,4.8483,89,197,100.5,201,119,316,114,316,p0020,FLake
2014,19.905,206,5.013,46,8.3884,324,5.011,47,204,204,204,104,308,104,308,p0020,FLake
2009,3.708,364,3.708,364,3.708,364,3.708,364,NA,NA,NA,NA,NA,NA,NA,p0021,FLake
2010,15.874,191,0,16,6.633,318,3.0231,89,172,172,172,137,309,137,309,p0021,FLake
2011,14.139,229,0,0,6.6339,343,3.1541,78,206,53.75,215,129,335,110,335,p0021,FLake
2012,16.677,232,5.2091,33,7.7915,326,5.2091,33,188,95.5,191,118,306,113,306,p0021,FLake
2013,20.158,208,4.1065,90,7.0382,348,4.0876,92,184,92.5,185,131,315,126,315,p0021,FLake
2014,18.026,206,4.6825,46,7.3926,330,4.6825,46,201,201,201,111,312,111,312,p0021,FLake
2009,3.4523,364,3.4523,364,3.4523,364,3.4523,364,NA,NA,NA,NA,NA,NA,NA,p0022,FLake
2010,13.828,204,0,22,5.5711,326,3.3223,8,168,168,168,137,305,137,305,p0022,FLake
2011,13.473,229,0,0,6.5087,343,3.7907,102,183,183,183,151,334,151,334,p0022,FLake
