year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,3.28839993476868,364,3.28500008583069,363,3.28839993476868,364,3.28500008583069,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2011,19.3649997711182,193,2.67499995231628,10,8.52630043029785,334,3.0158998966217,7,232,232,232,95,327,95,327,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2012,18.5139999389648,226,5.75530004501343,33,9.41989994049072,302,5.74910020828247,36,203,203,203,88,291,88,291,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,22.7099990844727,200,5.02500009536743,27,9.16720008850098,311,4.99520015716553,57,186,186,186,119,305,119,305,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,20.7609996795654,205,4.76620006561279,44,9.27939987182617,317,4.76620006561279,44,207,207,207,102,309,102,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
2010,3.68646383285522,364,3.6501476764679,363,3.68646383285522,364,3.6501476764679,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,21.1846084594727,193,3.07881879806519,10,11.5427989959717,299,3.07881879806519,10,191,39.2,196,108,299,81,299,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,21.2692184448242,221,5.48513507843018,33,13.1782913208008,274,5.46588897705078,35,130,27,135,144,274,87,274,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,25.8966579437256,199,4.88320970535278,37,12.0623617172241,303,4.88320970535278,37,150,75.5,151,150,300,138,300,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,23.5448684692383,205,4.45516777038574,44,12.9769382476807,290,4.45516777038574,44,170,35.4,177,120,290,103,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
2010,2.80876088142395,364,2.80213713645935,363,2.80879521369934,364,2.80571913719177,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2011,19.2208442687988,193,2.25413942337036,2,13.9153413772583,259,2.28550863265991,8,162,55.6666666666667,167,95,257,81,257,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2012,20.5428714752197,222,5.6165132522583,352,12.8105144500732,273,5.62730073928833,352,131,25.1666666666667,151,139,270,84,270,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,23.9223251342773,191,4.63856220245361,89,13.0076513290405,290,4.58694362640381,92,163,55.6666666666667,167,123,286,116,286,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,22.7327365875244,205,4.54487800598145,44,12.5693445205688,290,4.55143213272095,46,184,46.75,187,101,285,90,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
2010,4.83449983596802,364,4.79540014266968,363,4.64659976959229,364,4.58680009841919,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,20.2740001678467,193,4.05030012130737,10,16.5069999694824,246,4.07159996032715,11,86,19.8333333333333,119,152,238,86,243,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,20.7759990692139,222,6.32100009918213,33,16.5849990844727,254,6.33300018310547,36,109,25.4,127,140,249,86,252,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,25.1580009460449,200,5.57399988174438,37,16.1399993896484,255,5.4931001663208,58,113,60,120,138,251,138,272,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,23.3700008392334,205,5.04580020904541,44,15.0860004425049,278,5.04699993133545,45,144,83.5,167,132,276,107,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
