year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,2.2960000038147,363,2.23819994926453,364,3.98000001907349,364,3.96909999847412,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2011,20.2140007019043,193,1.31319999694824,28,6.94519996643066,341,3.75180006027222,49,241,121.5,243,92,333,87,333,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2012,20.1229991912842,226,5.41919994354248,33,9.57219982147217,304,5.41919994354248,33,201,101.5,203,97,298,92,298,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,23.068000793457,202,4.68510007858276,27,9.41609954833984,310,4.68510007858276,27,188,188,188,116,304,116,304,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,21.4650001525879,205,4.76000022888184,44,8.07870006561279,327,4.75279998779297,47,223,223,223,92,315,92,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
2010,3.9059374332428,364,3.89028477668762,363,3.90775537490845,364,3.89028477668762,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,21.7221164703369,192,1.09972631931305,2,9.86278438568115,327,3.2114360332489,10,228,58.25,233,99,327,81,327,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,22.8315677642822,221,5.26536560058594,33,8.74980640411377,323,5.24439859390259,35,239,239,239,84,323,84,323,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,27.0261077880859,200,4.51380920410156,36,10.5403623580933,310,4.48258972167969,38,184,92.5,185,126,310,120,310,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,25.2751502990723,181,4.18180513381958,44,10.5285596847534,310,4.17938375473022,47,199,67.6666666666667,203,111,310,103,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
2010,0.0525414943695068,363,0.051288764923811,364,3.48971199989319,363,3.46649169921875,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0162606816738844,-2,gotm
2011,20.0442276000977,193,0.194403678178787,2,11.4964475631714,303,2.5757052898407,33,202,105,210,93,295,81,295,NA,NA,NA,NA,NA,NA,0,0,NA,gotm
2012,22.0679664611816,222,5.40540790557861,33,11.4802837371826,289,5.41469049453735,33,200,100.5,201,83,283,81,283,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,25.7553863525391,191,4.45772886276245,26,11.5669536590576,303,4.43933153152466,56,189,63.6666666666667,191,110,299,101,299,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,24.2026214599609,205,4.38666200637817,44,11.5467529296875,304,4.37727642059326,46,207,207,207,88,295,88,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
2010,4.42000007629395,364,4.39039993286133,363,4.23190021514893,364,4.18520021438599,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,20.988000869751,192,3.60640001296997,8,13.9949998855591,288,3.67079997062683,11,183,93.5,187,96,279,85,279,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,21.5970001220703,222,6.21649980545044,33,11.6540002822876,302,6.23190021514893,37,214,214,214,84,298,84,298,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,25.5030002593994,200,5.22149991989136,36,11.7030000686646,308,5.19360017776489,59,188,188,188,116,304,116,304,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,23.9869995117188,205,4.78079986572266,44,11.9729995727539,304,4.85379981994629,49,206,206,206,93,299,93,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
