year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,4.28229999542236,363,4.25530004501343,364,4.07870006561279,363,4.02510023117065,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2011,17.1879997253418,195,3.48699998855591,30,6.53259992599487,341,3.63590002059937,9,234,234,234,96,330,96,330,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2012,16.4729995727539,180,5.04780006408691,34,7.32030010223389,338,5.04780006408691,34,218,218,218,90,308,90,308,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,19.7159996032715,202,4.74289989471436,57,8.95209980010986,309,4.74289989471436,57,186,186,186,117,303,117,303,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,18.9549999237061,206,4.49079990386963,47,6.84709978103638,0,4.49079990386963,47,217,217,217,104,321,104,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
2010,4.13401126861572,364,4.09352827072144,363,4.13401126861572,364,4.09352827072144,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,18.1210327148438,194,1.23485863208771,21,8.89128589630127,327,3.23991727828979,30,214,107.5,215,111,325,109,325,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,16.7346057891846,179,4.45531606674194,35,9.3347692489624,324,4.45531606674194,35,183,93.5,187,123,306,112,306,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,22.7134742736816,192,3.08338737487793,55,8.58897876739502,316,3.86512732505798,58,190,190,190,117,307,117,307,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,20.2023086547852,205,3.58097767829895,45,8.84213829040527,316,3.58097767829895,45,188,94.5,189,117,305,108,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
2010,3.52507567405701,363,3.52252292633057,364,3.56051206588745,363,3.52839708328247,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2011,15.5027265548706,193,2.01065635681152,22,10.5945768356323,292,2.83776950836182,33,183,92,184,105,288,98,288,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2012,15.4470672607422,147,4.56544160842896,33,10.1890935897827,278,4.56893873214722,33,125,69,138,139,264,121,264,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,19.6949005126953,191,3.39772701263428,88,10.3617248535156,297,3.39793229103088,88,174,174,174,111,285,111,285,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,18.726619720459,204,3.71807479858398,47,9.99247455596924,293,3.72021651268005,46,173,173,173,106,279,106,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
2010,5.09390020370483,363,5.06629991531372,364,4.65819978713989,364,4.61420011520386,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,18.3999996185303,193,3.82039999961853,29,12.1000003814697,290,3.89030003547668,31,186,94,188,102,288,99,288,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,17.8850002288818,149,5.21500015258789,34,10.8690004348755,300,5.22510004043579,36,187,187,187,103,290,103,290,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,22.4599990844727,192,4.39909982681274,56,10.8570003509521,303,4.41230010986328,58,189,189,189,111,300,111,300,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,21.117000579834,205,4.230299949646,46,9.7435998916626,307,4.23559999465942,47,199,199,199,102,301,102,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
