year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,1.14429998397827,363,1.03960001468658,364,3.98000001907349,363,3.98000001907349,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00919349957257509,23,flake
2011,17.3290004730225,194,0,9,7.12200021743774,342,3.70510005950928,64,238,238,238,97,335,97,335,1.5,2,6,22,24,9,31,0,NA,flake
2012,18.636999130249,226,5.58760023117065,33,9.22010040283203,314,5.58760023117065,33,201,201,201,102,303,102,303,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,23.117000579834,200,5.00150012969971,89,8.62849998474121,322,5.00150012969971,89,189,189,189,121,310,121,310,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,20.25,206,5.14289999008179,46,8.83730030059814,317,5.14079999923706,47,204,102.5,205,103,307,100,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
2010,1.38300025463104,363,1.06979846954346,364,2.29184985160828,363,2.28673601150513,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,15.9603567123413,206,0,2,13.2376699447632,275,0.5467649102211,30,82,28,84,166,248,153,248,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,20.1716918945312,226,5.45078802108765,33,12.5895519256592,290,5.45078802108765,33,146,146,146,144,290,144,290,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,24.6555194854736,198,4.69701337814331,90,11.1635847091675,308,4.66010141372681,92,159,159,159,148,307,148,307,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,22.0393619537354,205,4.71621799468994,46,12.8524484634399,292,4.71621799468994,46,174,87.5,175,116,290,113,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
2010,0.552488267421722,364,0.0419853441417217,363,3.44366025924683,363,3.42226362228394,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0336312875151634,2,gotm
2011,18.1743774414062,193,0.0294633209705353,2,12.4309225082397,291,2.41657590866089,31,193,65,195,96,289,81,289,NA,NA,NA,NA,NA,NA,6,0,NA,gotm
2012,21.4386119842529,222,5.54549789428711,33,12.4392948150635,284,5.56592845916748,33,169,46.75,187,108,277,84,277,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,25.1055717468262,200,4.41618490219116,90,12.2119522094727,301,4.42872047424316,90,177,59.6666666666667,179,119,296,112,296,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,23.2616920471191,205,4.79705715179443,45,12.0292072296143,293,4.78649091720581,46,198,99.5,199,93,291,90,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
2010,1.69449996948242,363,1.63320004940033,364,2.8018000125885,363,2.79489994049072,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,15.5209999084473,194,0.0198030006140471,20,13.3380002975464,278,1.18040001392365,32,35,12.2857142857143,86,163,198,113,236,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,20.6709995269775,222,6.34800004959106,33,15.5469999313354,264,6.39529991149902,35,121,21.5,129,140,261,87,261,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,24.8509998321533,198,5.42859983444214,89,14.4219999313354,287,5.42049980163574,92,142,71.5,143,140,282,138,282,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,22.8719997406006,205,5.36789989471436,42,13.4420003890991,289,5.42710018157959,47,172,88.5,177,107,279,107,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
