year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,3.17339992523193,364,3.16820001602173,363,3.17339992523193,364,3.16820001602173,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2011,18.7490005493164,193,2.64510011672974,8,10.1319999694824,309,2.64510011672974,8,201,201,201,98,299,98,299,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2012,17.6979999542236,229,5.73820018768311,33,12.4259996414185,273,5.73299980163574,36,122,122,122,147,269,147,269,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,21.8509998321533,201,4.91790008544922,56,11.5319995880127,300,4.88219976425171,57,149,149,149,147,296,147,296,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,20.3570003509521,205,4.73169994354248,44,10.125,308,4.73169994354248,44,196,99,198,105,301,105,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
2010,3.32848834991455,364,3.28500986099243,363,3.32848834991455,364,3.28500986099243,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,19.8809509277344,193,2.77580499649048,9,16.3990707397461,223,2.77580499649048,9,113,19.8333333333333,119,108,221,106,251,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,20.3798732757568,221,5.3649959564209,33,15.1611766815186,260,5.35953569412231,35,116,29.75,119,144,260,87,260,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,24.6590194702148,198,4.65720510482788,90,13.3989772796631,288,4.64102792739868,92,139,70,140,149,288,138,288,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,22.5927314758301,205,4.34101676940918,44,12.8219356536865,290,4.34101676940918,44,174,44.75,179,115,289,103,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
2010,2.64829325675964,364,2.64123058319092,363,2.6482846736908,364,2.64493346214294,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2011,18.4200572967529,193,2.17569255828857,8,14.3972959518433,248,2.1564347743988,8,84,19.5714285714286,137,163,247,82,247,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2012,19.7222747802734,222,5.48294591903687,352,13.1646127700806,268,5.49113273620605,352,125,22.8333333333333,137,141,266,84,266,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,23.2432651519775,200,4.38841390609741,89,13.5934581756592,260,4.33277463912964,92,115,33.5,134,145,260,138,281,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,22.0861778259277,205,4.48847150802612,44,13.7747430801392,277,4.4998607635498,46,172,172,172,103,275,103,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
2010,4.49469995498657,364,4.45109987258911,363,4.3351001739502,364,4.25939989089966,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,18.8729991912842,193,3.76559996604919,8,16.6919994354248,225,3.77760004997253,10,20,7.88888888888889,71,202,222,106,243,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,19.7280006408691,222,6.16209983825684,33,17.4820003509521,234,6.17810010910034,34,31,9.875,79,143,174,87,230,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,23.7950000762939,200,5.30770015716553,89,17.2110004425049,242,5.21379995346069,90,42,15.8,79,187,229,138,271,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,22.3099994659424,205,4.87090015411377,46,16.1770000457764,268,4.87169981002808,45,91,14.3333333333333,129,145,236,108,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
