year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.04259300231934,364,5.04259300231934,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,15.8863401412964,186,3.3743040561676,12,48,8.06666666666667,121,138,186,102,255,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,15.4084701538086,224,3.86063194274902,8,47,6.92307692307692,90,177,224,82,251,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,16.3644905090332,238,6.03970909118652,34,39,11.875,95,175,214,87,249,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,16.2540798187256,243,4.7591609954834,90,57,24.5,98,186,243,149,271,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,15.8272304534912,230,4.64983177185059,46,86,11.8,118,145,231,108,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,3.21539998054504,364,3.20930004119873,363,3.21539998054504,364,3.20930004119873,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2011,19.3910007476807,193,2.67829990386963,8,13.3459997177124,278,2.67829990386963,8,163,83.5,167,104,267,104,275,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2012,18.3199996948242,229,5.85080003738403,33,13.5100002288818,268,5.84329986572266,36,119,119,119,147,266,147,266,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,22.761999130249,200,5.03550004959106,27,14.7840003967285,275,5.03550004959106,27,100,100,100,157,257,157,257,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,21.2749996185303,205,4.88810014724731,44,12.1569995880127,290,4.88810014724731,44,173,173,173,112,285,112,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
