year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,3.28712368011475,364,3.24181771278381,363,3.28712368011475,364,3.24181771278381,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,19.9727268218994,193,2.74669218063354,8,16.6244792938232,223,2.74669218063354,8,38,7.45454545454545,82,183,221,81,251,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,20.5821418762207,221,5.36689472198486,33,13.1382970809937,273,5.36311006546021,35,129,43.6666666666667,131,144,273,105,273,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,24.1650428771973,198,4.69568729400635,90,14.7335634231567,281,4.67926931381226,92,113,57,114,149,262,138,262,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,22.5678863525391,205,4.35049343109131,44,12.9496850967407,290,4.35049343109131,44,142,32.6,163,145,287,103,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
