year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,1.82389998435974,363,1.75699996948242,364,3.41009998321533,363,3.40619993209839,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2011,19.2119998931885,193,1.47630000114441,0,9.1382999420166,328,3.15809988975525,33,214,214,214,96,310,96,310,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2012,19.1580009460449,226,5.53229999542236,33,11.9709997177124,278,5.53229999542236,33,129,129,129,143,272,143,272,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,22.2119998931885,208,4.76429986953735,27,11.5629997253418,300,4.76429986953735,27,151,151,151,145,296,145,296,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,20.443000793457,205,4.6476001739502,46,9.48750019073486,314,4.64169979095459,47,203,203,203,104,307,104,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
2010,3.37634634971619,364,3.35173726081848,363,3.37634634971619,364,3.35173726081848,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,19.0289154052734,204,1.87108767032623,28,13.9388637542725,277,2.70199227333069,10,169,85,170,108,277,81,277,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,21.4290199279785,221,5.04268741607666,33,11.5229635238647,290,5.03654479980469,35,149,38,152,141,290,87,290,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,24.634485244751,206,4.33861923217773,36,14.9342794418335,279,4.33861923217773,36,110,28.25,113,150,260,138,270,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,23.1167755126953,205,3.92124629020691,44,11.8917503356934,299,3.92124629020691,44,181,61,183,117,298,103,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
2010,0.416608393192291,364,0.0378168746829033,363,2.9776873588562,363,2.95677495002747,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00718658789992332,-2,gotm
2011,18.6176471710205,192,0.337878346443176,2,13.7584829330444,277,2.45813894271851,14,166,56.6666666666667,170,95,261,81,261,NA,NA,NA,NA,NA,NA,-1,0,NA,gotm
2012,20.3953514099121,222,5.21985340118408,352,12.7832298278809,274,5.20168495178223,355,133,18.875,151,137,270,84,270,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,24.6254253387451,191,4.51752710342407,26,13.1452436447144,288,4.4735894203186,56,159,80,160,125,284,120,284,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,23.2149925231934,205,4.24394989013672,44,12.5533828735352,287,4.25165414810181,46,182,46.25,185,102,284,90,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
2010,4.17110013961792,364,4.15129995346069,363,4.03630018234253,364,3.97460007667542,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,18.9050006866455,192,3.39050006866455,10,16.3600006103516,241,3.42860007286072,11,86,28.5,114,152,238,103,242,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,19.8579998016357,222,5.91079998016357,33,16.8279991149902,250,5.93520021438599,36,107,17.1428571428571,120,139,246,87,249,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,23.556999206543,191,4.87060022354126,55,16.3290004730225,251,5.01739978790283,59,101,21.8,109,148,249,138,271,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,22.4400005340576,205,4.51359987258911,44,16.2530002593994,267,4.50750017166138,47,94,21.8333333333333,131,145,239,109,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
