year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,4.26420021057129,363,4.23080015182495,364,4.03249979019165,363,3.98000001907349,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2011,17.3360004425049,194,3.55730009078979,9,9.84710025787354,306,3.55730009078979,9,195,99.5,199,106,301,106,306,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2012,16.8799991607666,180,5.25330018997192,34,9.28369998931885,325,5.25330018997192,34,199,199,199,102,301,102,301,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,20.2070007324219,202,4.84649991989136,57,11.0609998703003,296,4.84649991989136,57,139,139,139,149,288,149,288,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,19.7590007781982,206,4.60169982910156,47,10.423999786377,293,4.60169982910156,47,182,182,182,109,291,109,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
2010,4.35997772216797,364,4.30608749389648,363,4.35861778259277,364,4.30608749389648,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,18.1425380706787,194,3.06472778320312,21,10.443060874939,305,3.30802059173584,30,199,199,199,106,305,106,305,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,16.298900604248,180,4.51558256149292,35,14.0200462341309,252,4.51558256149292,35,91,46.5,93,146,237,129,237,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,22.5665645599365,192,3.72677302360535,60,14.276123046875,278,3.89124011993408,56,104,104,104,154,258,154,258,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,20.7279644012451,205,3.51423048973083,45,10.9888229370117,296,3.51423048973083,45,161,42,168,133,294,108,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
2010,3.53524351119995,363,3.53315758705139,364,3.53509259223938,364,3.51960349082947,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2011,15.4561901092529,193,2.73345494270325,22,13.0369844436646,253,2.78503751754761,9,146,146,146,106,252,106,252,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2012,14.6010007858276,152,4.64274930953979,33,11.1937866210938,264,4.6435399055481,33,96,51,102,143,239,143,253,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,20.3597869873047,191,3.56482982635498,88,12.2619943618774,281,3.56750154495239,88,111,34.75,139,148,259,113,276,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,18.8469200134277,204,3.61290240287781,45,11.542106628418,277,3.60904383659363,46,167,167,167,106,273,106,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
2010,5.41849994659424,363,5.39629983901978,364,5.12559986114502,364,5.05740022659302,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,18.4489994049072,193,4.09639978408813,29,15.5220003128052,248,4.12680006027222,30,95,64,128,152,247,104,247,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,17.1679992675781,152,5.15010023117065,33,14.2910003662109,235,5.15630006790161,35,91,34.6666666666667,104,142,233,125,253,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,22.6959991455078,192,4.42119979858398,56,14.9619998931885,275,4.43620014190674,59,109,40.3333333333333,121,148,257,114,271,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,21.246000289917,205,4.09000015258789,45,13.8590002059937,276,4.09119987487793,47,109,53.6666666666667,161,133,242,107,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
