year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,0.844799995422363,363,0.81998997926712,364,3.48839998245239,363,3.478600025177,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00124240003060549,9,flake
2011,17.55299949646,194,0,9,9.91609954833984,326,2.99659991264343,38,205,205,205,106,311,106,311,1,1,1,9,10,9,10,0,NA,flake
2012,19.4860000610352,226,5.85510015487671,33,9.63010025024414,308,5.85510015487671,33,215,215,215,87,302,87,302,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,24.3950004577637,200,5.19570016860962,89,9.53509998321533,314,5.19570016860962,89,188,188,188,120,308,120,308,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,21.3250007629395,205,5.2467999458313,44,9.34370040893555,313,5.2467999458313,44,206,206,206,99,305,99,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
2010,1.25113546848297,363,1.24916934967041,364,1.25498747825623,364,1.25113546848297,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,16.1220645904541,204,0,2,14.4927606582642,221,0.584068953990936,30,16,3.66666666666667,22,181,197,153,234,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,19.5518360137939,226,5.37072944641113,33,14.5724792480469,271,5.37072944641113,33,127,127,127,144,271,144,271,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,25.1115875244141,198,4.69144439697266,90,15.1115913391113,281,4.67584800720215,92,132,132,132,149,281,149,281,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,21.3486995697021,205,4.69253540039062,45,13.5846185684204,290,4.69253540039062,45,145,84.5,169,145,290,117,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
2010,2.51584839820862,363,2.42875981330872,364,3.01523995399475,363,2.95641207695007,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2011,17.8668441772461,193,1.72053813934326,2,13.9916114807129,254,2.04590582847595,10,158,33,165,95,253,80,275,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2012,21.2593097686768,221,5.56299018859863,33,13.7851257324219,271,5.58012342453003,33,131,27.5,165,137,268,84,268,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,25.0616035461426,198,4.47680950164795,90,13.6053810119629,288,4.49051427841187,90,159,80,160,125,284,120,284,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,23.568000793457,205,4.79106473922729,45,12.91224193573,288,4.79392290115356,46,187,47.5,190,98,285,90,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
2010,2.08689999580383,363,2.03749990463257,364,2.76939988136292,363,2.73720002174377,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,15.7259998321533,193,0.440770000219345,22,14.2049999237061,224,1.26090002059937,32,20,4.35714285714286,61,177,197,108,234,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,20.7709999084473,222,6.22989988327026,33,17.7800006866455,242,6.27519989013672,34,45,15.6666666666667,94,168,213,87,239,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,24.8740005493164,198,5.4109001159668,90,16.753999710083,254,5.42530012130737,91,103,27,108,149,252,138,271,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,23.0919990539551,205,5.24109983444214,42,16.6299991607666,268,5.30480003356934,47,95,18.7142857142857,131,145,240,107,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
