year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,2.70934391021729,364,2.7024667263031,363,2.70934629440308,364,2.70617151260376,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2011,18.7174205780029,193,2.20909714698792,2,14.3623580932617,253,2.20130562782288,8,89,26,156,163,252,81,252,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2012,20.0065841674805,222,5.53094959259033,352,13.0580673217773,269,5.54010248184204,352,128,23.6666666666667,142,140,268,84,268,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,23.4876270294189,200,4.47713947296143,89,13.4401254653931,284,4.41888189315796,92,139,35.75,143,143,282,126,282,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,22.3136615753174,205,4.50802755355835,44,13.2214622497559,280,4.51787376403809,46,175,88,176,103,278,90,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
