year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,4.64359998703003,364,4.60830020904541,363,4.46680021286011,364,4.40409994125366,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,18.2590007781982,193,3.87050008773804,10,15.5620002746582,240,3.896399974823,11,72,35.3333333333333,106,163,235,105,235,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,19.0370006561279,222,6.20149993896484,33,15.7469997406006,254,6.22189998626709,36,103,26.75,107,143,246,91,249,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,23.2439994812012,200,5.04589986801147,90,15.293999671936,256,4.96379995346069,92,104,28,112,148,252,138,272,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,21.6749992370605,205,4.87650012969971,46,14.46399974823,277,4.89690017700195,45,142,53.3333333333333,160,134,276,108,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
