year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.04259300231934,364,5.04259300231934,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,15.8863401412964,186,3.3743040561676,12,48,8.06666666666667,121,138,186,102,255,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,15.4084701538086,224,3.86063194274902,8,47,6.92307692307692,90,177,224,82,251,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,16.3644905090332,238,6.03970909118652,34,39,11.875,95,175,214,87,249,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,16.2540798187256,243,4.7591609954834,90,57,24.5,98,186,243,149,271,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,15.8272304534912,230,4.64983177185059,46,86,11.8,118,145,231,108,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,2.16100001335144,363,2.11899995803833,364,3.57389998435974,363,3.56780004501343,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2011,19.6389999389648,193,1.98039996623993,0,12.621000289917,290,3.00500011444092,22,169,87,174,113,282,113,288,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2012,20.0779991149902,226,5.71290016174316,364,11.7119998931885,132,5.71290016174316,364,141,141,141,142,283,142,283,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,23.0849990844727,208,4.90369987487793,27,13.8579998016357,285,4.90369987487793,27,108,63,126,153,261,153,282,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,21.6310005187988,205,4.86679983139038,44,10.076000213623,311,4.85890007019043,47,207,207,207,99,306,99,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
