year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,3.54816126823425,364,3.52432894706726,363,3.54816126823425,364,3.52432894706726,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,20.1900882720947,192,1.98321783542633,28,14.0448436737061,276,2.85600996017456,10,168,56.6666666666667,170,108,276,81,276,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,22.0939445495605,221,5.10144662857056,33,11.8852024078369,289,5.09493160247803,35,148,17.4444444444444,157,141,289,87,289,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,25.4123058319092,206,4.41292762756348,36,13.7271137237549,290,4.41292762756348,36,141,71,142,149,290,138,290,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,23.8502502441406,205,3.99358248710632,44,12.1204242706299,297,3.99358248710632,44,180,60.6666666666667,182,117,297,103,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
