year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,4.09779977798462,364,4.08090019226074,363,3.94770002365112,364,3.91359996795654,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,17.9270000457764,193,3.30690002441406,10,15.3030004501343,253,3.35179996490479,11,94,61,122,152,246,106,246,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,19.1110000610352,222,5.85500001907349,33,15.5679998397827,259,5.87599992752075,36,116,30,120,141,257,87,257,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,22.5319995880127,200,4.81230020523071,54,15.128999710083,281,4.77839994430542,91,111,24,120,147,258,138,276,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,21.4459991455078,205,4.37559986114502,44,15.3280000686646,273,4.44929981231689,49,120,48,144,145,265,112,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
