year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.04259300231934,364,5.04259300231934,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,15.8863401412964,186,3.3743040561676,12,48,8.06666666666667,121,138,186,102,255,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,15.4084701538086,224,3.86063194274902,8,47,6.92307692307692,90,177,224,82,251,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,16.3644905090332,238,6.03970909118652,34,39,11.875,95,175,214,87,249,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,16.2540798187256,243,4.7591609954834,90,57,24.5,98,186,243,149,271,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,15.8272304534912,230,4.64983177185059,46,86,11.8,118,145,231,108,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,4.83860015869141,363,4.81120014190674,364,4.73110008239746,363,4.66370010375977,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2011,19.2689990997314,194,4.11460018157959,9,10.6459999084473,304,4.11460018157959,9,193,97.5,195,104,297,87,297,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2012,18.5170001983643,149,5.5128002166748,34,9.76089954376221,318,5.5128002166748,34,201,201,201,101,302,101,302,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,22.4169998168945,201,5.15939998626709,38,12.8140001296997,287,5.15939998626709,38,137,137,137,147,284,147,284,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,21.496000289917,206,4.91200017929077,47,11.2840003967285,292,4.91200017929077,47,183,183,183,108,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
