year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,4.11660146713257,364,4.06208992004395,363,4.11660146713257,364,4.06208992004395,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,15.9976425170898,193,2.74775552749634,21,13.9423532485962,252,3.02927994728088,30,66,31.3333333333333,94,184,250,116,252,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,14.7354984283447,179,4.30833435058594,35,13.5754699707031,208,4.30833435058594,35,20,10.25,41,146,166,146,222,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,19.9201679229736,192,3.29503989219666,60,11.8202657699585,291,3.53984594345093,58,135,135,135,156,291,156,291,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,18.9832630157471,205,3.29378938674927,45,12.5674066543579,277,3.29378938674927,45,72,26,104,167,239,147,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
