year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,3.69324898719788,363,3.69249987602234,364,3.69361662864685,364,3.67665553092957,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2011,16.6742744445801,193,2.90741658210754,8,13.649097442627,252,2.91792035102844,8,147,74.5,149,105,252,96,252,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2012,15.7422895431519,147,4.73991537094116,33,11.8156766891479,263,4.74087715148926,33,97,35.3333333333333,106,142,239,86,254,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,21.7422389984131,191,3.92976856231689,57,12.799222946167,281,3.92840361595154,58,112,36.25,145,147,259,112,276,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,19.8138771057129,204,3.71283745765686,45,12.0470056533813,277,3.71213221549988,46,171,171,171,103,274,103,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
