year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,5.20979976654053,363,5.19029998779297,364,4.9653000831604,364,4.88649988174438,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,16.9860000610352,193,3.88649988174438,29,15.3280000686646,238,3.93269991874695,31,27,15.4,77,203,230,107,230,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,15.6490001678467,179,4.98999977111816,33,13.9040002822876,232,4.9967999458313,35,70,25.6666666666667,77,143,213,143,252,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,21.0949993133545,199,4.16230010986328,56,15.2290000915527,251,4.17189979553223,58,63,47.5,95,185,248,152,248,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,19.9640007019043,205,3.88499999046326,45,13.7349996566772,273,3.88899993896484,47,94,26.4,132,144,238,108,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
