year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.04259300231934,364,5.04259300231934,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,15.8863401412964,186,3.3743040561676,12,48,8.06666666666667,121,138,186,102,255,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,15.4084701538086,224,3.86063194274902,8,47,6.92307692307692,90,177,224,82,251,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,16.3644905090332,238,6.03970909118652,34,39,11.875,95,175,214,87,249,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,16.2540798187256,243,4.7591609954834,90,57,24.5,98,186,243,149,271,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,15.8272304534912,230,4.64983177185059,46,86,11.8,118,145,231,108,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,1.31959998607635,363,1.2833000421524,364,3.37879991531372,363,3.37019991874695,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2011,15.5979995727539,194,0.690599977970123,12,15.2220001220703,219,2.99990010261536,33,12,12,12,186,198,186,198,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2012,18.9680004119873,226,5.8762001991272,33,12.9040002822876,276,5.8762001991272,33,127,127,127,144,271,144,271,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2013,23.0639991760254,200,5.09329986572266,89,14.1319999694824,283,5.09329986572266,89,106,28.5,114,154,260,154,281,NA,NA,NA,NA,NA,NA,NA,0,NA,flake
2014,21.1420001983643,205,5.25629997253418,44,10.2930002212524,306,5.25629997253418,44,190,190,190,106,296,106,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake
