year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,1.68441605567932,363,1.56893742084503,364,1.68853545188904,364,1.68441605567932,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2011,17.0497512817383,233,0,2,13.891713142395,275,0.765589535236359,30,141,71.5,143,113,254,108,254,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2012,22.0725231170654,226,5.58566904067993,33,13.561954498291,284,5.58566904067993,33,140,35.75,143,144,284,87,284,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2013,26.8733139038086,198,5.14923763275146,90,12.7280321121216,303,5.11946582794189,92,156,156,156,147,303,147,303,NA,NA,NA,NA,NA,NA,NA,0,NA,glm
2014,23.7018756866455,205,4.91549110412598,45,12.8796606063843,293,4.91549110412598,45,177,45.25,181,116,293,103,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm
