year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,2.44074726104736,363,2.35394668579102,364,2.82005000114441,363,2.7455530166626,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2011,17.3687019348145,206,1.69257724285126,2,14.0475997924805,248,1.96187508106232,9,77,18,144,163,240,81,275,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2012,20.7538146972656,221,5.5221061706543,33,13.8178672790527,269,5.537841796875,33,126,22.8333333333333,137,141,267,84,267,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2013,24.4996433258057,198,4.30545282363892,90,13.7196826934814,286,4.3187689781189,90,118,28.8,144,143,261,129,282,NA,NA,NA,NA,NA,NA,NA,0,NA,gotm
2014,23.0397834777832,205,4.72333860397339,45,13.3119039535522,285,4.72518587112427,46,176,59.6666666666667,179,103,279,99,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,gotm
