year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2009,5.15999984741211,364,5.15999984741211,364,5.06720590591431,364,5.06720590591431,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2010,18.8899993896484,170,3.59999990463257,12,12.9347400665283,291,3.45987510681152,13,186,94,188,105,291,102,291,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2011,17.3700008392334,194,3.97000002861023,8,14.2270698547363,254,3.83615708351135,11,90,20.2857142857143,142,159,249,82,253,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2012,19.2099990844727,221,5.73970890045166,34,13.1327695846558,273,6.09862422943115,36,130,33.25,133,142,272,87,272,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2013,23.2600002288818,198,4.96999979019165,90,12.3692197799683,300,4.76544809341431,92,153,153,153,147,300,147,300,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,20.0100002288818,205,4.92999982833862,46,12.8408699035645,291,4.73200082778931,44,181,91,182,110,291,108,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,obs
2010,1.9646999835968,363,1.9128999710083,364,3.05100011825562,363,3.04290008544922,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2011,17.2369995117188,184,0.24864000082016,22,14.0150003433228,240,1.34510004520416,32,47,27,108,152,199,106,237,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2012,22.0310001373291,222,6.45779991149902,33,16.3239994049072,263,6.50479984283447,35,121,19.375,155,140,261,86,261,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2013,26.363000869751,198,5.84359979629517,90,15.1309995651245,286,5.83920001983643,91,142,36.25,145,140,282,113,282,NA,NA,NA,NA,NA,NA,NA,0,NA,simstrat
2014,24.5249996185303,205,5.51510000228882,42,13.9280004501343,289,5.582200050354,47,173,36.8,184,106,279,94,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,simstrat
