year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0001,Simstrat
2014,19.177,205,0.068058,324,16.477,217,0.53077,364,40,11.7142857142857,82,181,221,138,252,p0001,Simstrat
2015,18.588,187,0.028632,314,13.987,212,0.22638,308,53,5.91666666666667,71,159,212,146,253,p0001,Simstrat
2016,18.828,205,0.064851,302,16.695,209,0.29941,21,49,12,96,132,181,132,247,p0001,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0002,Simstrat
2014,22.368,205,0.064189,324,18.737,211,0.75119,364,34,5.9375,95,179,213,115,256,p0002,Simstrat
2015,21.153,187,0.012359,314,17.33,203,0.087284,301,53,5.47058823529412,93,153,206,129,253,p0002,Simstrat
2016,20.935,205,0.05223,55,18.421,208,0.1009,0,52,9.63636363636364,106,126,178,126,251,p0002,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0003,Simstrat
2014,22.553,206,0.17619,318,10.092,260,3.0106,364,147,147,147,112,259,112,259,p0003,Simstrat
2015,22.987,185,0.174,300,11.438,249,1.5557,364,118,31.25,125,131,249,122,253,p0003,Simstrat
2016,21.598,203,0.32054,302,14.62,222,1.5479,25,99,25.2,126,125,224,125,257,p0003,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0004,Simstrat
2014,21.435,205,0.082829,324,18.125,212,0.65257,364,19,5.3125,85,137,156,117,251,p0004,Simstrat
2015,20.411,187,0.0066802,300,16.958,202,0.08013,301,46,4.5,81,159,205,132,253,p0004,Simstrat
2016,20.369,205,0.052724,4,18.239,208,0.097908,0,50,8.63636363636364,95,128,178,128,252,p0004,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0005,Simstrat
2014,20.007,205,0.3518,309,8.863,0,2.9212,299,130,130,130,130,260,130,260,p0005,Simstrat
2015,19.968,185,0.44643,33,8.0031,268,2.5333,364,123,33.25,133,131,254,129,267,p0005,Simstrat
2016,20.09,206,0.48307,28,11.342,255,2.4727,118,128,128,128,127,255,127,255,p0005,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0006,Simstrat
2014,14.009,215,0.029841,324,13.059,221,0.29511,362,6,4.25,17,204,210,186,218,p0006,Simstrat
2015,13.904,195,0.028458,311,12.58,201,0.09968,308,13,7,14,185,198,185,201,p0006,Simstrat
2016,14.677,206,0.027643,302,13.732,208,0.1566,0,3,1.5,12,168,171,153,208,p0006,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0007,Simstrat
2014,26.646,206,0.33149,324,11.844,263,2.9978,364,156,79.5,159,107,263,103,263,p0007,Simstrat
2015,26.749,185,0.041351,300,12.599,256,1.2793,355,147,50,150,107,254,107,271,p0007,Simstrat
2016,24.726,203,0.35061,302,17.257,221,1.2812,0,112,29.2,146,109,221,109,260,p0007,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0008,Simstrat
2014,27.134,205,0.26942,324,18.761,225,1.266,364,133,20.8571428571429,146,107,240,105,261,p0008,Simstrat
2015,26.534,185,0.017312,314,17.84,233,0.21869,364,83,20.1428571428571,141,153,236,107,273,p0008,Simstrat
2016,24.436,190,0.071104,4,20.531,210,0.19033,70,86,9.64285714285714,135,124,210,110,264,p0008,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0009,Simstrat
2014,26.392,205,0.10672,11,22.194,210,1.202,364,25,7.625,122,129,154,107,258,p0009,Simstrat
2015,24.991,187,-0.0061721,314,21.24,190,0.042087,314,45,6.55555555555556,118,153,198,107,262,p0009,Simstrat
2016,24.268,190,0.064968,49,21.606,207,0.11472,0,47,7,119,124,171,110,264,p0009,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0010,Simstrat
2014,24.231,205,0.37037,324,9.0293,266,3.5826,364,156,156,156,108,264,108,264,p0010,Simstrat
2015,24.177,185,0.39726,301,10.25,267,2.0926,364,144,50.3333333333333,151,118,262,109,262,p0010,Simstrat
2016,22.808,203,0.43384,26,14.021,255,2.0766,107,131,44.3333333333333,133,124,255,121,263,p0010,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0011,Simstrat
2014,25.535,206,0.28294,324,11.257,261,3.2038,364,156,52.6666666666667,158,107,263,103,263,p0011,Simstrat
2015,25.808,185,0.13923,300,12.29,252,1.2352,355,145,73,146,108,253,108,261,p0011,Simstrat
2016,23.676,203,0.35521,24,16.46,222,1.2385,0,103,15.2222222222222,137,121,224,111,263,p0011,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0012,Simstrat
2014,24.58,205,0.21817,324,13.171,255,2.5334,364,150,150,150,108,258,108,258,p0012,Simstrat
2015,24.133,185,0.05375,300,14.933,243,0.72311,333,125,27.2,136,118,243,110,262,p0012,Simstrat
2016,22.27,203,0.17399,302,17.907,212,0.74171,0,93,15.125,121,125,218,125,259,p0012,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0013,Simstrat
2014,20.021,208,0.10741,324,13.925,235,1.4242,364,105,36.3333333333333,109,130,235,130,252,p0013,Simstrat
2015,19.8,187,0.06581,313,13.439,231,0.52519,355,78,11.5,92,153,231,134,253,p0013,Simstrat
2016,19.63,205,0.13551,302,16.477,212,0.53068,0,82,17.1666666666667,103,130,212,130,247,p0013,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0014,Simstrat
2014,18.829,205,0.093879,324,13.68,233,2.1809,364,95,33,99,138,233,135,252,p0014,Simstrat
2015,18.435,187,0.059107,297,12.721,224,0.49444,356,70,11.5714285714286,81,154,224,146,241,p0014,Simstrat
2016,18.572,206,0.15177,302,15.758,211,0.50134,0,48,16.1666666666667,97,136,184,136,247,p0014,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0015,Simstrat
2014,18.06,208,0.18425,309,8.5465,258,2.4429,298,119,40.3333333333333,121,137,256,133,256,p0015,Simstrat
2015,17.886,187,0.0625,300,9.6178,248,2.0622,364,94,33,99,153,247,146,247,p0015,Simstrat
2016,18.315,206,0.38639,26,13.671,221,1.9656,126,84,16.8333333333333,101,137,221,137,247,p0015,Simstrat
2013,9.058,364,9.058,364,9.058,364,9.058,364,NA,NA,NA,NA,NA,NA,NA,p0016,Simstrat
2014,24.588,205,0.11468,11,20.625,210,0.94466,364,20,6.9375,111,135,155,110,254,p0016,Simstrat
2015,22.795,187,0.00011899,314,19.777,196,0.05601,316,45,5.5,99,153,198,121,253,p0016,Simstrat
2016,22.222,205,0.050871,44,20.103,208,0.11019,0,50,6.6875,107,125,175,125,263,p0016,Simstrat
