year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2013,0,364,0,364,3.59650000000001,364,3.59650000000001,364,NA,NA,NA,NA,NA,NA,NA,p0001,FLake
2014,22.983,206,0,0,8.9703,269,3.60180000000001,0,152,152,152,116,268,116,268,p0001,FLake
2015,22.632,185,0,0,11.986,253,3.6973,293,117,59,118,131,248,129,248,p0001,FLake
2016,20.889,158,0,0,9.0469,274,2.9542,305,148,148,148,126,274,126,274,p0001,FLake
2013,0,364,0,364,3.14599999999999,364,3.14599999999999,364,NA,NA,NA,NA,NA,NA,NA,p0002,FLake
2014,26.036,206,0,0,14.955,248,1.762,327,113,17.2857142857143,121,129,242,115,257,p0002,FLake
2015,24.199,185,0,0,18.093,226,2.7665,100,48,5.81818181818182,64,158,206,128,253,p0002,FLake
2016,22.848,158,0,0,17.274,236,1.4137,310,95,17.1666666666667,103,127,222,127,251,p0002,FLake
2013,0,364,0,364,3.7693,364,3.7693,364,NA,NA,NA,NA,NA,NA,NA,p0003,FLake
2014,25.782,206,0,0,11.104,270,3.7293,311,162,162,162,107,269,107,269,p0003,FLake
2015,25.614,185,0,0,19.307,227,3.8336,300,61,6.3125,101,153,214,127,253,p0003,FLake
2016,23.432,158,0,0,10.713,275,2.9598,311,154,77.5,155,121,275,119,275,p0003,FLake
2013,0,364,0,364,3.0412,364,3.0412,364,NA,NA,NA,NA,NA,NA,NA,p0004,FLake
2014,25.319,206,0,0,14.384,249,1.6785,330,113,30,120,130,243,115,248,p0004,FLake
2015,23.467,185,0,0,17.659,202,2.7229,0,20,2.94117647058824,50,170,190,129,253,p0004,FLake
2016,22.14,158,0,0,16.715,236,1.419,309,99,26.25,105,127,226,127,248,p0004,FLake
2013,0,364,0,364,3.4013,364,3.4013,364,NA,NA,NA,NA,NA,NA,NA,p0005,FLake
2014,23.369,206,0,0,14.444,249,3.4068,0,111,111,111,132,243,132,243,p0005,FLake
2015,23.649,185,0,0,15.783,240,3.6881,301,87,13.8571428571429,97,153,240,134,240,p0005,FLake
2016,21.176,158,0,0,10.308,275,3.5932,311,148,148,148,127,275,127,275,p0005,FLake
2013,0,364,0,364,3.9555,364,3.9555,364,NA,NA,NA,NA,NA,NA,NA,p0006,FLake
2014,17.972,206,0,0,9.0303,259,3.0434,314,120,120,120,139,259,139,259,p0006,FLake
2015,15.522,185,0,0,15.366,186,3.3503,0,NA,NA,NA,NA,NA,NA,NA,p0006,FLake
2016,15.509,207,0,0,7.8822,273,1.902,307,119,119,119,154,273,154,273,p0006,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0007,FLake
2014,29.427,203,0,0,13.352,268,3.5729,328,165,165,165,102,267,102,267,p0007,FLake
2015,29.687,182,0,0,13.048,274,3.2756,323,173,173,173,97,270,97,270,p0007,FLake
2016,26.72,154,0,0,11.903,275,3.4126,312,169,169,169,106,275,106,275,p0007,FLake
2013,0,364,0,364,3.8377,364,3.8377,364,NA,NA,NA,NA,NA,NA,NA,p0008,FLake
2014,30.021,203,0,0,17.811,248,3.1422,324,141,37.25,149,108,249,108,263,p0008,FLake
2015,28.936,185,0,0,16.575,253,3.5405,0,137,28.8,144,107,244,107,271,p0008,FLake
2016,27.113,158,0,0,12.155,273,2.731,310,167,167,167,106,273,106,273,p0008,FLake
2013,0,364,0,364,3.5229,364,3.5229,364,NA,NA,NA,NA,NA,NA,NA,p0009,FLake
2014,29.496,203,0,0,17.088,246,2.0233,327,134,29,145,108,242,108,263,p0009,FLake
2015,26.744,185,0,0,20.185,202,0.051746,323,26,4.55555555555556,82,210,236,109,253,p0009,FLake
2016,25.88,154,0,0,19.357,236,0.054719,311,94,13.2,132,127,221,101,264,p0009,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0010,FLake
2014,26.983,204,0,0,11.59,270,3.823,329,167,167,167,103,270,103,270,p0010,FLake
2015,27.016,185,0,0,12.37,263,3.942,317,154,154,154,107,261,107,261,p0010,FLake
2016,24.38,158,0,0,15.232,265,3.4451,311,141,141,141,122,263,122,263,p0010,FLake
2013,0,364,0,364,3.97999999999999,364,3.97999999999999,364,NA,NA,NA,NA,NA,NA,NA,p0011,FLake
2014,28.491,204,0,0,12.842,268,3.3904,328,165,165,165,102,267,102,267,p0011,FLake
2015,28.513,182,0,0,10.996,278,3.6218,0,177,177,177,100,277,100,277,p0011,FLake
2016,25.786,158,0,0,10.724,276,3.089,312,168,168,168,108,276,108,276,p0011,FLake
2013,0,364,0,364,3.6744,364,3.6744,364,NA,NA,NA,NA,NA,NA,NA,p0012,FLake
2014,27.82,204,0,0,11.365,269,3.2345,324,166,166,166,103,269,103,269,p0012,FLake
2015,27.394,185,0,0,14.97,253,3.6301,0,145,145,145,108,253,108,253,p0012,FLake
2016,25.169,158,0,0,12.382,273,2.7837,312,152,76.5,153,121,273,117,273,p0012,FLake
2013,0,364,0,364,3.69490000000001,364,3.69490000000001,364,NA,NA,NA,NA,NA,NA,NA,p0013,FLake
2014,23.795,206,0,0,14.43,246,3.69840000000001,0,111,111,111,132,243,132,243,p0013,FLake
2015,23.768,185,0,0,12.768,253,3.8392,301,119,119,119,129,248,129,248,p0013,FLake
2016,21.705,158,0,0,10.006,274,3.4799,302,147,147,147,126,273,126,273,p0013,FLake
2013,0,364,0,364,3.56,364,3.56,364,NA,NA,NA,NA,NA,NA,NA,p0014,FLake
2014,22.315,206,0,0,8.9955,271,3.5651,0,150,150,150,120,270,120,270,p0014,FLake
2015,22.695,185,0,0,10.124,262,3.6399,293,131,131,131,131,262,131,262,p0014,FLake
2016,19.985,158,0,0,15.466,238,3.2973,302,89,89,89,138,227,138,227,p0014,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0015,FLake
2014,21.616,206,0,0,21.616,206,3.8145,310,9,3.27272727272727,36,145,154,138,209,p0015,FLake
2015,21.598,185,0,0,9.6435,267,3.9229,299,134,134,134,133,267,133,267,p0015,FLake
