year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2013,0,364,0,364,3.9566,364,3.9566,364,NA,NA,NA,NA,NA,NA,NA,p0001,FLake
2014,22.937,206,0,0,22.359,207,3.0341,311,43,5.15384615384615,67,137,180,116,227,p0001,FLake
2015,22.575,185,0,0,17.601,228,3.5824,0,50,6,72,158,208,129,235,p0001,FLake
2016,21.055,207,0,0,11.501,273,3.2762,311,146,146,146,126,272,126,272,p0001,FLake
2013,0,364,0,364,3.63520000000001,364,3.63520000000001,364,NA,NA,NA,NA,NA,NA,NA,p0002,FLake
2014,26.658,205,0,0,14.664,118,2.1974,84,129,27.6,138,129,258,110,258,p0002,FLake
2015,25.142,185,0,0,11.329,268,2.253,93,167,167,167,100,267,100,267,p0002,FLake
2016,23.123,205,0,0,18.215,236,2.1904,311,75,6.8,102,146,221,124,259,p0002,FLake
2013,0,364,0,364,3.7122,364,3.7122,364,NA,NA,NA,NA,NA,NA,NA,p0003,FLake
2014,26.303,206,0,0,14.541,260,3.6106,331,155,155,155,105,260,105,260,p0003,FLake
2015,26.37,183,0,0,12.334,266,3.6445,324,163,163,163,102,265,102,265,p0003,FLake
2016,24.124,158,0,0,10.479,277,3.5177,310,170,170,170,107,277,107,277,p0003,FLake
2013,0,364,0,364,2.9945,364,2.9945,364,NA,NA,NA,NA,NA,NA,NA,p0004,FLake
2014,25.617,206,0,0,14.307,259,3.0045,0,128,33.75,135,129,257,110,257,p0004,FLake
2015,24.293,185,0,0,18.283,226,2.8466,325,50,4.15789473684211,79,158,208,111,253,p0004,FLake
2016,22.845,205,0,0,12.475,272,2.1845,311,148,148,148,124,272,124,272,p0004,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0005,FLake
2014,23.717,209,0,0,15.195,248,3.5979,330,110,29,116,131,241,108,247,p0005,FLake
2015,23.54,185,0,0,17.59,236,3.5256,324,96,13.125,105,140,236,127,253,p0005,FLake
2016,21.734,197,0,0,11.732,275,3.6226,310,151,76,152,124,275,122,275,p0005,FLake
2013,0,364,0,364,3.868,364,3.868,364,NA,NA,NA,NA,NA,NA,NA,p0006,FLake
2014,18.294,206,0,0,8.7045,265,3.669,117,130,130,130,135,265,135,265,p0006,FLake
2015,16.387,185,0,0,16.173,186,3.5553,317,1,1,1,160,161,160,161,p0006,FLake
2016,16.845,195,0,0,8.1303,275,2.7191,308,134,134,134,141,275,141,275,p0006,FLake
2013,0,364,0,364,3.4598,364,3.4598,364,NA,NA,NA,NA,NA,NA,NA,p0007,FLake
2014,29.571,206,0,0,19.376,235,3.3447,336,141,17.4444444444444,157,100,241,92,270,p0007,FLake
2015,30.047,183,0,0,12.192,278,3.5718,81,188,188,188,90,278,90,278,p0007,FLake
2016,27.297,158,0,0,11.678,277,3.8686,309,181,181,181,96,277,96,277,p0007,FLake
2013,0,364,0,364,3.6644,364,3.6644,364,NA,NA,NA,NA,NA,NA,NA,p0008,FLake
2014,30.432,204,0,0,16.925,258,2.8218,336,152,32.2,161,108,260,92,268,p0008,FLake
2015,29.306,185,0,0,13.778,263,3.1075,326,168,58.3333333333333,175,91,259,91,272,p0008,FLake
2016,27.641,154,0,0,13.848,273,3.5058,313,176,176,176,97,273,97,273,p0008,FLake
2013,0,364,0,364,3.8696,364,3.8696,364,NA,NA,NA,NA,NA,NA,NA,p0009,FLake
2014,30.323,204,0,0,16.205,259,0.0028964,339,131,26,156,129,260,93,268,p0009,FLake
2015,27.826,185,0,0,15.915,253,0.98893,0,153,39.75,159,95,248,95,271,p0009,FLake
2016,27.581,154,0,0,15.334,269,0.1029,312,170,170,170,99,269,99,269,p0009,FLake
2013,0,364,0,364,3.5978,364,3.5978,364,NA,NA,NA,NA,NA,NA,NA,p0010,FLake
2014,27.542,206,0,0,15.955,259,3.599,336,156,78.5,157,102,258,96,258,p0010,FLake
2015,27.543,183,0,0,12.436,276,3.3126,325,173,173,173,97,270,97,270,p0010,FLake
2016,25.087,158,0,0,12.243,276,3.7332,97,171,171,171,105,276,105,276,p0010,FLake
2013,0,364,0,364,3.9565,364,3.9565,364,NA,NA,NA,NA,NA,NA,NA,p0011,FLake
2014,28.799,206,0,0,16.439,258,3.842,78,156,53,159,102,258,96,258,p0011,FLake
2015,28.972,183,0,0,11.8,278,3.3645,325,186,186,186,92,278,92,278,p0011,FLake
2016,26.422,158,0,0,12.572,276,3.7847,93,175,175,175,101,276,101,276,p0011,FLake
2013,0,364,0,364,3.8392,364,3.8392,364,NA,NA,NA,NA,NA,NA,NA,p0012,FLake
2014,28.225,206,0,0,13.912,265,3.8432,0,169,169,169,96,265,96,265,p0012,FLake
2015,27.993,183,0,0,12.557,276,3.1216,325,172,172,172,97,269,97,269,p0012,FLake
2016,25.833,158,0,0,12.484,275,3.7059,313,170,170,170,105,275,105,275,p0012,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0013,FLake
2014,24.247,209,0,0,14.933,249,3.3516,311,111,38.6666666666667,116,131,242,115,247,p0013,FLake
2015,23.995,185,0,0,16.483,243,3.243,323,86,10,100,155,241,132,253,p0013,FLake
2016,21.925,207,0,0,12.986,271,3.6686,0,145,145,145,126,271,126,271,p0013,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0014,FLake
2014,22.444,206,0,0,14.973,237,3.7391,311,100,51,102,137,237,116,237,p0014,FLake
2015,22.545,185,0,0,12.962,253,3.7049,321,121,121,121,129,250,129,250,p0014,FLake
2016,20.726,207,0,0,11.233,274,3.85710000000001,308,148,148,148,126,274,126,274,p0014,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0015,FLake
2014,21.909,206,0,0,21.909,206,3.8398,310,10,3.35714285714286,47,116,126,116,213,p0015,FLake
2015,21.564,185,0,0,13.318,251,3.9289,321,120,120,120,131,251,131,251,p0015,FLake
2016,20.321,197,0,0,10.093,276,3.8904,311,150,150,150,126,276,126,276,p0015,FLake
2013,0,364,0,364,3.5668,364,3.5668,364,NA,NA,NA,NA,NA,NA,NA,p0016,FLake
2014,28.293,204,0,0,16.916,247,0.34897,336,113,16.75,134,129,242,96,259,p0016,FLake
2015,26.1,185,0,0,14.657,253,1.9275,324,151,77.5,155,97,248,97,253,p0016,FLake
2016,24.637,156,0,0,12.259,273,2.0667,311,172,172,172,101,273,101,273,p0016,FLake
2013,0,364,0,364,3.5844,364,3.5844,364,NA,NA,NA,NA,NA,NA,NA,p0017,FLake
2014,30.47,204,0,0,16.493,259,2.5244,336,152,26.5,159,108,260,92,268,p0017,FLake
2015,28.387,185,0,0,16.001,253,2.2592,326,153,40.5,162,95,248,95,271,p0017,FLake
2016,27.533,154,0,0,14.58,271,2.8626,312,171,171,171,99,270,99,270,p0017,FLake
2013,0,364,0,364,3.7302,364,3.7302,364,NA,NA,NA,NA,NA,NA,NA,p0018,FLake
2014,19.637,206,0,0,12.92,246,3.6062,309,104,104,104,138,242,138,242,p0018,FLake
2015,18.216,185,0,0,17.991,186,3.6862,315,1,1,6,151,152,151,198,p0018,FLake
2016,18.335,197,0,0,9.5229,275,3.40730000000001,311,139,139,139,136,275,136,275,p0018,FLake
2013,0,364,0,364,3.7448,364,3.7448,364,NA,NA,NA,NA,NA,NA,NA,p0019,FLake
2014,30.334,204,0,0,16.633,258,2.7332,336,152,32.2,161,108,260,92,268,p0019,FLake
2015,28.959,185,0,0,13.61,263,3.0678,325,166,56.6666666666667,170,92,258,92,270,p0019,FLake
2016,27.546,154,0,0,13.574,273,3.2782,312,176,176,176,97,273,97,273,p0019,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0020,FLake
2014,30.603,204,0,0,17.318,254,3.1886,336,159,28.1666666666667,169,95,254,92,275,p0020,FLake
2015,29.926,183,0,0,13.848,274,3.2819,80,177,90.5,181,90,267,90,272,p0020,FLake
2016,28.038,154,0,0,12.018,276,3.7438,88,181,181,181,95,276,95,276,p0020,FLake
2013,0,364,0,364,3.7363,364,3.7363,364,NA,NA,NA,NA,NA,NA,NA,p0021,FLake
2014,19.308,206,0,0,13.102,239,3.2676,311,98,98,98,141,239,141,239,p0021,FLake
