year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2013,0,364,0,364,2.8782,364,2.8782,364,NA,NA,NA,NA,NA,NA,NA,p0001,FLake
2014,23.172,207,0,0,15.975,228,1.9119,323,92,92,92,133,225,133,225,p0001,FLake
2015,21.003,186,0,0,16.733,235,3.2723,301,72,72,72,135,207,135,207,p0001,FLake
2016,19.957,206,0,0,16.318,219,0,311,83,83,83,136,219,136,219,p0001,FLake
2013,0,364,0,364,2.3802,364,2.3802,364,NA,NA,NA,NA,NA,NA,NA,p0002,FLake
2014,25.188,207,0,0,25.188,207,0.61108,332,42,11.6666666666667,70,132,174,116,207,p0002,FLake
2015,22.348,186,0,0,21.446,187,2.2269,323,5,1.85714285714286,13,171,176,130,254,p0002,FLake
2016,22.076,159,0,0,20.957,208,0,311,12,5.83333333333333,35,186,198,129,260,p0002,FLake
2013,0,364,0,364,3.3289,364,3.3289,364,NA,NA,NA,NA,NA,NA,NA,p0003,FLake
2014,25.304,205,0,0,19.346,225,2.3507,107,112,112,112,113,225,113,225,p0003,FLake
2015,24.343,186,0,0,19.795,235,2.0891,323,80,41,82,122,202,122,221,p0003,FLake
2016,22.447,156,0,0,20.574,212,0.43607,313,86,44.5,89,125,211,125,232,p0003,FLake
2013,0,364,0,364,2.2952,364,2.2952,364,NA,NA,NA,NA,NA,NA,NA,p0004,FLake
2014,24.842,207,0,0,16.655,228,1.0393,329,92,49.5,99,132,224,119,224,p0004,FLake
2015,22.818,186,0,0,13.827,244,3.6433,301,115,58,116,129,244,129,254,p0004,FLake
2016,21.367,159,0,0,20.354,208,0,311,13,7,35,186,199,129,207,p0004,FLake
2013,0,364,0,364,3.681,364,3.681,364,NA,NA,NA,NA,NA,NA,NA,p0005,FLake
2014,23.37,207,0,0,23.37,207,3.3769,327,45,14.75,59,133,178,133,206,p0005,FLake
2015,22.273,186,0,0,18.154,235,3.6133,316,74,38,76,129,203,129,221,p0005,FLake
2016,20.559,206,0,0,20.391,208,1.8634,312,62,22.6666666666667,68,130,192,130,232,p0005,FLake
2013,0,364,0,364,2.6081,364,2.6081,364,NA,NA,NA,NA,NA,NA,NA,p0006,FLake
2014,18.639,207,0,0,16.925,212,0.65663,329,28,25,50,152,180,152,212,p0006,FLake
2015,16.387,186,0,0,13.682,235,1.4035,303,66,66,66,167,233,167,233,p0006,FLake
2016,15.875,207,0,0,13.58,218,0.15016,309,58,29.5,59,159,217,159,231,p0006,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0007,FLake
2014,28.498,207,0,0,28.498,207,2.519,331,32,17.6666666666667,53,136,168,109,195,p0007,FLake
2015,27.104,186,0,0,25.685,187,1.8083,325,69,37,74,107,176,107,187,p0007,FLake
2016,26.098,156,0,0,25.211,206,2.5816,313,98,52,104,108,206,108,233,p0007,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0008,FLake
2014,28.916,207,0,0,28.916,207,1.8265,332,18,10.5,42,138,156,110,196,p0008,FLake
